fid,id,label1930,type1930,remark1930,label1882,type1882,remark1882,X_coord,Y_coord
119,,Dam,Astronomisch station,Eind treinspoor,,,,583477.697710304,515768.74720399
120,,Krikie,,,Krikie,,,576198.166019547,549635.464817641
121,,Pisjang,,,Pisjang,,,576394.033747158,550250.06225007
122,,Koffikamp,,,Koffikamp,,,575381.328938663,550568.103216145
123,,Maripa Ondre,,,Maripa Ondre,,,575742.353982819,551090.893845979
124,,Abanna Kondre,,,,,,577462.920819372,568131.730826937
125,,Bergendaal,,plantation,Hernhutters kerk,kerk,,567986.291377165,568551.74764432
126,,Agila,,,,,,575917.321387398,593588.611342356
127,,Ruïne Synagoge,,Jodensavanne,Ruïne Synagoge,,,578254.437181934,599136.468898457
128,,Gelderland,Astronomisch station,,,,,577208.818822958,601247.65831481
129,,Esther's lust,,plantation,,,,573907.393064337,610136.050116029
130,,Carolina,,plantation,,,,576138.559563828,602890.349544114
131,,Powakka,,,,,,567392.161080181,602272.840567869
132,,Hanover,,plantation,,,,558488.661094088,607400.678147151
133,,Mattewaribo,,plantation,,,,558720.748490312,612061.74006021
134,,Bergen op Zoom,,plantation,,,,572120.088668865,614391.710590012
135,,Berendslust,,,,,,571633.072732146,619360.871606274
136,,Groot Chatillon,,plantation,,,,568053.176997284,621887.28497645
137,,Rorac,,plantation,,,,571112.049999398,626031.700411576
138,,St. Barbara,,plantation,,,,573330.487591752,628885.287966438
139,,Laarwijk,,plantation,,,,568935.609507273,631128.471123949
140,,Ornamibo,,plantation,,,,562720.599437634,634329.820845122
141,,Houttuin,,plantation,,,,560808.65576373,635492.980395494
142,,Domburg,,plantation,Domburg,,districtscommissaris,566687.570767435,630710.472924669
143,,Willemsburg,,,,,,562919.444669041,629688.119529031
144,,Meerzorg,,plantation,,,,559271.432943105,641480.015866619
145,,Paramaribo,District Commissaris,,Paramaribo,,,558997.159351408,644124.386125928
146,,Belwaarde,,plantation,Hernhutter kerk en school,kerk,,566092.896329329,647426.263526069
148,,Mariënburg,,plantation,,,,570802.972416222,650735.457905457
149,,Leliëndaal,,plantation,Hernhutter kerk en school,kerk,,572109.573465741,649854.409111679
150,,Johan Margaretha en Buitenrust,,plantation,,,,571711.211457744,652210.392459646
151,,Kroonenburg,,plantation,,,,575338.523582955,649803.168788491
152,,Alkmaar,,plantation,,,,573853.392058591,648090.048601431
153,,Hecht en sterk,,plantation,,,,580623.787493395,650304.310470323
154,,Constantia,,plantation,,,,586561.966631232,651126.742178391
155,,Practica,,plantation,,,,579132.487668469,643015.479156132
156,,Ma retraite,,plantation,,,,578985.481782385,642002.188584195
157,,Slootwijk,,plantation,,,,588921.29794784,645446.19570656
158,,Reijnsdorp,,plantation,,,,587087.629607627,654423.154395244
159,,Nieuw Meerzorg,,plantation,,,,587648.167067459,652824.290848834
160,,Charlottenburg,,plantation,Hernhutter kerk,kerk,,600055.189297775,647985.720979235
161,,Ephrata,Astronomisch station,plantation,Ephrata,,Districtscommissaris,603001.346710638,646875.046291109
162,,De Eendragt,,plantation,,,,610769.063271897,642994.930979758
163,,Onvergenoegd,,plantation,,,,610120.142848451,645157.161545757
164,,Patientie,,plantation,,,,609409.353205773,647658.334049063
165,,Goed succes,,plantation,,,,610000.968504173,648779.111898141
166,,De vrede,,plantation,,,,617767.90469841,647162.92603955
167,,Mon desir,,plantation,,,,620629.910713681,649640.380437334
168,,Mina Moffo,B,,,,,634889.679491223,640064.160052225
169,,Agiti Ondro,B,,,,,635518.461998843,639795.370663171
170,,Wanhatti,B,,,,,635990.11365403,639898.293007714
171,,Calbo,I,,,,,637775.644005693,641169.032950127
172,,Pina Tjari Mi,B,,,,,640894.621679423,641253.60342793
173,,Lanti Wei,B,,,,,640621.529527046,640624.745815297
174,,Koffie Hei,I,,,,,642378.721278196,641546.361088481
175,,Pikien Santi,B,,,,,645609.550347324,640339.509616891
176,,Tamarin,,,Tamarin,,Aucaner dorp,643594.505990491,638902.284688342
177,,Bilo Langa Hoekoe,B,,,,,641292.982570937,638034.653166258
178,,Toja Kondre,B,,,,,640781.75811313,637733.052658747
179,,Oposei Langa Hoekoe,B,,,,,640736.065788619,634925.998662179
180,,Rikanau Moffo,B,,Rikanau,,Aucaner dorp,639688.412314684,628257.13823533
181,,Moengo,,,Moengo,,Aucaner dorp,641902.280778066,622361.241810048
182,,Rikanau,,,,,,646047.300402765,621856.847442483
183,,Damtapoe,B,,,,,638491.735959104,615062.257580759
184,,Ovillan Hollo,B,,,,,641207.883716937,610114.789908027
185,,Cassaba Ondro,B,,,,,639843.569074844,605425.359182
186,,Temekoe Tanta,B,,,,,639461.656601412,603879.986317951
187,,Moengo Tapoe,B,,,,,659548.432199849,617461.326643522
188,,Adjamoe Kondre,B,,,,,657520.900097896,619698.487161727
189,,Kapasi Kondre,I,,,,,683173.756410614,625336.973022446
190,,Langaman Kondre,I,,,,,684947.371308713,630989.052602374
191,,Christiaan Kondre,I,,,,,685027.505284399,632316.106226024
192,,Galibi,Astronomisch station,,Galibi,,Lichttoren,688444.74198885,636765.910085677
193,,Les Hattes (Frans Guyana),,Frans Guyana,Les Hattes (Frans Guyana),,Lichttoren,692483.457310435,635200.857895392
194,,Mana (Frans Guyana),,Frans Guyana,Mana (Frans Guyana),,,711235.424212442,626128.076455898
195,,Leproserie (Frans Guyana),,Frans Guyana,Leproserie (Frans Guyana),,,708695.302364577,617785.483241878
196,,Cormoran (Frans Guyana),,Frans Guyana,Cormoran (Frans Guyana),,,716966.900403967,611422.1042032
197,,Angonleme (Frans Guyana),,Frans Guyana,Angonleme (Frans Guyana),,,719991.647817875,595945.801344
198,,Tollinche (Frans Guyana),,Frans Guyana,Tollinche (Frans Guyana),,vestiging van Portugezen,658684.304940163,583129.858968655
199,,Zwampoe Kondre,B,,,,,665905.552407464,590090.776277265
200,,James Kondre,I,,,,,666088.438973073,592435.384985396
201,,Manjaboom Kondre,I,,,,,673034.096277968,600390.037084039
202,,Zomer Kondre,I,,,,,672184.659155414,599738.207109674
203,,Bigiston,I,,,,,671921.49287005,599527.017959377
204,,,I,,,,,671693.80016145,599256.190962671
205,,,I,,,,,671587.185665987,598953.044799753
206,,St. Jean (Frans Guyana),,Frans Guyana,St. Jean (Frans Guyana),,,677636.526922242,598585.18827276
207,,St. Louis (Frans Guyana),,Frans Guyana,St. Louis (Frans Guyana),,voormalig strafetablissement,680889.725346028,605528.491919102
208,,St. Laurent (Frans Guyana),,Frans Guyana,St. Laurent (Frans Guyana),,strafetablissement,683399.037478726,609723.896168298
209,,,I,,,,,682999.224653466,611664.186628882
210,,,I,,,,,682611.503546789,611437.911143236
211,,,I,,,,,682003.268262908,611022.711374037
212,,,I,,,,,681226.227066704,610415.185818121
213,,,B,,,,,680879.709295364,610047.59508795
214,,Andreas Kondre,B,,Andreas Kondre,,,680723.11395032,609648.886871779
215,,Albina,Astronomisch station,,Albina,,,680212.703642383,608314.322746812
216,,Papa Tam Kondre,I,,Papa Tam Kondre,,,677807.638472016,606042.831698273
217,,,I,,,,,677494.341127045,605744.686021368
218,,Potribo,,plantation,,,,603425.210343867,635442.050917689
219,,Parelloekamp,I,,,,,609636.490316218,616583.65434582
220,,Agama Kreek,B,,,,,613427.070967752,605562.523818033
221,,Sapende,Astronomisch station,,,,,613035.02001384,609283.008874329
222,,Goddo Drai,B,,,,,611547.018027745,603295.892817778
223,,Java,B,,,,,613525.015444239,597485.486011546
224,,Moisi Moisi Kondre,B,,,,,611976.810787454,594454.218147534
225,,Copie,,,Copie,,,597187.441392673,607185.764937818
226,,Broki,,,,,,616162.375378024,632312.745600697
227,,Saron,,,,,,555781.034183533,641961.404089605
228,,Lelydorp,,,,,,552003.351011249,630113.061028283
229,,Onverwacht,,plantation,,,,554175.726900751,618344.904225648
230,,La prospérité,,plantation,Hernhutter kerk,kerk,,552222.535199753,609254.002353849
231,,Republiek,,plantation,Post Republiek,,,551939.023848019,608298.464094302
232,,Marinella,,plantation,,,,550694.724026522,608581.975446036
233,,Zanderij I,,,,,,552815.808954306,604875.32703263
234,,Berlijn,,,,,,551966.420786264,596967.816355562
235,,Munchenstein,,plantation,,,,555355.603955512,597476.750530658
236,,Zanderij II,,,Zanderij II,,,547253.545014749,590181.957103471
237,,Sectie O,,,Sectie O,,,545930.041255509,587839.4972289
238,,Kwakoegron,Astronomisch station,,,,,538055.219891257,580471.73492049
239,,Guyana goud placer,,,,,,546243.137163971,569285.794019693
240,,De Jong N.,,,,,,547778.105169649,566092.552453217
241,,Gros,,,,,,549307.630760691,563614.866154821
242,,De Jong Z.,,,,,,551540.784469669,562173.244443631
243,,Brownsweg,,,,,,557516.969817529,554900.375821735
244,,Ma Mère,,,,,,369184.456394395,650725.412860217
245,,Vertrouwen,,,,,,369131.954292222,650242.393520226
246,,Weltreveden,,,,,,370192.496756115,650557.406133263
247,,Pinard,,,,,,370371.003903503,650147.889736315
248,,De Goede Hoop,,,De Goede Hoop,,voormalige Gouvernements kostgrond,471660.964026142,612751.171996726
249,,,I,,Indiaansch dorp,,,477981.963872652,628752.147721169
250,,Batavia,Astronomisch station,,Batavia,kerk,Leprozen etablissement,478650.752501355,631862.75495559
251,,,I,,,,,667257.889336638,592507.446708848
252,,,,,Nieuw Rotterdam,,,353038.270290509,660848.895046197
253,,,,,Geo Kemble,,,339305.591337122,626117.323473107
254,,,,,Warns,,,338170.477990081,622030.915423759
255,,,,,Warns (Brits Guyana),,,335487.482806165,622670.706583001
256,,,,,Indiaansch dorp,,,335136.629589807,573840.194235743
257,,,,,Indiaansch dorp,,,333753.855148866,576853.404211525
258,,,,,Verlaten Indiaansch dorp,,,260611.278750438,542738.088526818
259,,,,,Temehri rots (Brits Guyana),,,257928.283566523,541045.737718503
260,,,,,Kwango,,,496343.363294128,498422.231537108
261,,,,,Bellevue,,,495476.549465479,497349.033463542
262,,,,,Misatan,,,490936.096077315,494934.337798018
263,,,,,Kamaroa,,,484600.099758376,473718.037420596
264,,,,,Binniwatra,,,484785.845578801,473119.523110338
265,,,,,Klein Dahomey,,,525108.266701187,446472.426175483
266,,,,,Bergi,,,525103.00782325,458228.899839608
267,,,,,Levant,,,525412.584190625,459797.420100974
268,,,,,Kettibaffo,,,527245.617398958,466177.201217795
