fid,1930,wkt_geometry
112,,"LineString (558994.25439302 644122.47854968, 558369.01349984 644062.45131665, 558035.68243676 643940.25767669, 557476.35726613 643735.53611874, 557240.18613744 643531.13450797, 557085.87606003 643275.30382376, 556889.81986126 642921.54171418, 556766.20511622 642645.14383247, 556666.00304437 642356.5775263, 556558.55659752 642199.00769033, 556410.66581864 642182.05726948, 555908.55776004 642193.47191908, 555672.86289203 642194.01972861, 555471.65482339 641824.55357516, 554489.08262701 640135.96538921, 553285.45787367 638130.19596016, 552904.75499049 637464.97088396, 552525.89270053 636793.37373618, 552454.00860372 636668.86254307, 552336.39089017 636019.4542057, 552238.21941567 635264.73691664, 552060.60146304 634017.67861514, 552001.70373184 633356.86601686, 551955.58649827 632705.59841947, 551923.92459572 632373.33042123, 552006.49512958 632488.97564793, 551873.27513944 631249.94269522, 551835.32495686 630308.80247424, 551800.17276595 629667.3152531, 551706.75637553 628773.62092116, 551618.62051763 628007.68535096, 551523.21317396 627183.6198205, 551494.61233712 626685.95171099, 551506.67982287 626439.64944669, 551885.03543828 625087.32539641, 552106.3321272 624277.07410339, 552344.22579567 623495.07826124, 552462.66335243 623148.09161195, 553166.84262623 622325.55369581, 553457.59509283 621808.60147494, 554046.61876831 620343.9485773, 554296.39891489 619118.33341212, 554377.84266007 618576.49443966, 554437.96545268 618099.01883986, 554532.53021058 617309.86022405, 553682.73325974 616387.17587273, 552434.04380613 615174.76402641, 552178.8684657 614914.04451355, 551809.31096962 614627.92878484, 551578.33743449 614449.10606648, 551424.24487337 614280.35988511, 551189.62297487 613709.20261346, 551096.59638957 613350.73525746, 551357.45774418 612267.3169901, 551611.67618217 611375.19356249, 551954.5978508 610005.67871435, 552106.15898644 608206.08703363, 552150.86125617 607607.21750577, 552170.86206808 607347.52857504, 552455.10685608 606372.65308518, 552764.38325553 605387.85683871, 552994.57337785 604898.8490162, 552963.22566276 604868.20313157, 552920.38191496 604421.72276698, 553017.53771191 603701.90147402, 553005.55075265 603320.52943283, 552713.52078251 602487.22081958, 552585.8729301 601966.70487906, 552544.11321957 601392.16021154, 552548.77050758 600650.63125874, 552624.69421238 599341.34966858, 552608.60774644 599002.73226946, 552461.40786359 598772.29381593, 552350.79421077 598579.88532782, 552295.97837129 597828.1306857, 552210.6776176 597446.40813617, 552209.43583781 597304.87262149, 552158.72976844 597118.59137704, 552130.55162849 596927.36333122, 552045.92319017 596512.86892554, 552056.60432311 596150.94824959, 551647.95372881 595826.8700659, 551489.43970052 595651.4632795, 551347.12670281 595480.44276829, 551109.80156322 595326.52231587, 550771.06618649 595150.74363385, 550606.75920661 594992.25624684, 550560.39020576 594874.50597153, 550492.00575523 594068.33643424, 550482.81625006 593981.50841838, 550555.66992086 594080.14232295, 549696.19150771 593474.75202638, 549267.16324325 592868.1855903, 548886.91513056 592366.85451857, 548499.27254265 591907.18487827, 548170.29697332 591419.115805, 547772.63212948 590713.06045573, 547628.50410303 590405.93024019, 547522.3074223 590216.012774, 547214.04207239 589924.96021795, 546795.34814064 589597.98877769, 546634.0880408 589164.29427614, 546527.56772178 588973.43326363, 546373.17141655 588743.36102248, 546298.75526059 588437.54614462, 546284.70787677 588174.21574759, 546188.54034126 587895.84853103, 545999.9292038 587636.85990831, 545434.32822758 586928.87933748, 545393.28676966 586669.22083114, 545431.4714767 586261.79455865, 545096.49547111 585870.64164868, 544929.34563167 585596.35269035, 544863.85092709 585313.48044401, 544724.28563533 584967.71249104, 544722.31576727 584639.83195054, 544661.66920626 584434.94624403, 544463.00247935 584067.7044822, 544366.99688266 583871.30422026, 544317.92483519 583597.00478046, 544315.78633693 583244.8061628, 544417.17217762 582658.25935117, 544344.33371722 582135.76149811, 543965.63080953 581705.75679518, 543762.08269007 581499.19322352, 543448.36844332 581195.41599295, 543191.86498307 581052.48224632, 542966.64462557 581165.68543705, 542772.29780993 581340.31259293, 542329.41125843 581552.13131773, 542032.79914935 581829.45590508, 541756.59683665 582065.74543168, 541516.77736451 582197.46844535, 541133.34489876 582327.49704878, 540897.63768364 582327.99402244, 540693.97700703 582220.39407769, 540469.213758 582042.46171257, 540264.48324263 582022.31583213, 539922.43745321 581798.83401565, 539645.32625853 581604.70120302, 539455.44001185 581494.45275396, 539064.21803555 581464.48768563, 538653.66356347 581381.02391798, 538454.15929415 581298.823152, 538310.41829996 581056.9175477, 538055.21989126 580471.73492049, 537688.60305622 580350.31707434, 537514.10240488 580217.45552711, 537366.22948171 579896.04655035, 537315.69055931 579468.42776814, 537147.59039561 579129.90457484, 536909.00713102 578794.29416843, 536891.98514618 578582.70027456, 537128.84272315 578305.10560692, 537223.43277756 578107.88913044, 537342.00615724 577960.80817246, 537243.12392145 577691.85390359, 537370.22347841 577412.34340258, 537451.65989987 577197.28926409, 537592.45295508 577082.7049755, 538167.98644634 576924.95645294, 538366.6515549 576810.49440531, 538683.2990179 576307.6673912, 538861.10630786 576142.62046555, 538967.53584128 576097.86861746, 539473.1306888 576078.87407044, 540016.26376981 576067.49311204, 540430.40649875 575933.8327567, 540767.82715296 575564.19362437, 541327.22321612 574899.24221917, 541753.13727366 574471.65380666, 542129.75769356 574138.49567251, 542179.60873305 573774.7753136, 542212.1990014 573289.30031767, 542308.53556819 572797.18873879, 542645.44729538 572484.05285683, 543053.27589704 572143.15331552, 543591.11941277 571696.0676475, 543928.73317212 571418.67022499, 544133.39759249 571274.77357333, 544547.05720059 570710.18423583, 544837.36165103 570334.76979201, 545399.02122442 570062.46827857, 545514.19310121 569970.41670394, 545749.11503236 569590.75470967, 546086.51710752 569210.8822188, 546362.51588137 568872.129134, 546833.16270026 568502.23217698, 547681.17594253 567852.94745531, 547913.89810334 567587.75291127, 547938.32027376 567065.88869876, 548060.51715132 566686.46387336, 548193.28802842 566465.860802, 548338.76750335 566033.23013608, 548349.7773973 565639.83028445, 548338.27854678 565285.90035269, 548501.40621172 564875.64945323, 548736.86648823 564757.3169036, 548900.49727877 564593.01577211, 549038.34090845 564346.7842688, 549181.54930394 564218.3929257, 549478.95077409 563849.01674088, 549653.50534104 563414.04270476, 549677.21979559 563209.7233887, 549922.95875301 563106.74374508, 550168.5304649 562921.78177549, 550417.51909303 562771.62797572, 550932.31185268 562474.02624074, 551130.59194886 562315.20000297, 551457.83251808 561976.35623628, 551736.55575817 561734.02490225, 551857.0193049 561597.33462227, 552044.3045433 561548.81527326, 552183.30828244 561536.74083355, 552391.25595195 561372.57607661, 552755.66217896 560928.51767614, 552923.44655775 560443.79383754, 553189.72750553 560207.92624633, 553353.30623035 560018.01123255, 553486.05881961 559787.16798989, 553590.70824009 559547.07229672, 553841.36129563 559341.61007082, 554030.64237164 559192.63488739, 554127.77738457 559084.83726774, 554089.17882051 558562.52542315, 554109.16644948 558311.41611505, 554211.16669325 558075.51266849, 554405.38567763 557834.29926213, 554589.5226298 557675.08808394, 554809.67112946 557587.53819876, 554988.73282735 557491.38243622, 555074.1965123 557361.62470976, 555162.56296571 557264.02405295, 555322.8477951 557197.81172216, 555473.33733874 557046.06227938, 555548.0133733 556996.65983893, 555606.23081401 556747.02005111, 555699.98946904 556597.43441351, 555765.51929074 556442.99548376, 555820.27024542 556339.391166, 555937.94223885 556252.04918828, 556219.69951644 556225.86266521, 556368.48871543 556157.50804521, 556515.8043246 555987.57670901, 556776.72559914 555792.34681148, 556976.53253158 555781.69710682, 557157.30691734 555589.17502108, 557322.77769843 555366.26579129, 557461.47726231 555193.81923255, 557948.80707068 554649.81512957, 558373.23843291 554385.46772206, 558420.49478263 553989.36389431, 558518.97446885 553889.42423244, 558651.56684522 553897.19526057, 558783.23934808 553944.77746903, 558987.36894864 554025.571798, 559222.77342409 553881.6344208, 559541.83649748 553679.40928554, 559612.38611587 553197.97261266, 559754.94282082 553101.02717319, 560040.35773778 553112.78345697, 560231.68498316 553084.49029459, 560325.19060359 552949.40099925, 560395.64563751 552704.66946432, 560546.29614226 552273.75501975, 560680.08354479 552072.66248535, 561247.22782202 551869.65214566, 561577.61198237 551693.12376661, 561809.24331329 551477.58398451, 561858.85179965 551246.43775984, 561765.86165516 550639.92580677, 561935.14314004 549961.34495301, 561851.65046003 549522.79327582, 561853.70510649 548930.36955775, 561959.18142661 548584.19243773, 562149.90070595 548338.93701511, 562629.89617023 548136.01859308, 562824.47856073 548025.48050633, 563350.65606286 547669.03868826, 563579.54016102 547610.88776505, 564040.79950903 547531.93452291, 564532.22923411 547623.37394067, 564764.89366635 547586.00437344, 565207.25134395 547403.14435141, 565565.90523285 547268.54016231, 565722.09537836 546847.89855931, 565892.86150364 546504.67158222, 566100.62120805 546304.25127428, 566195.21126246 546107.0347978, 566461.13381956 545825.80438727, 566690.31378071 545596.56712065, 566798.03202725 545381.48940267, 566840.10854979 545001.73307872, 566850.16341611 544900.40327405, 566891.5710554 544783.04843807, 567291.29677191 544431.64977537, 567401.06997677 544195.33911877, 567534.31465962 543563.77459129, 567646.82917822 543421.76000974, 567685.42028674 543289.06515752)"
113,,"LineString (567685.42028674 543289.06515752, 567694.15579076 542951.31813956, 567836.33005478 542638.92617654, 568180.44097213 542388.06206692, 568470.36781745 542393.12275882, 568621.08451831 542540.76111864, 568873.15669016 542578.30564677, 569302.87204474 542407.65417416, 569618.27945995 542139.71674705, 570059.33581678 542031.40934238, 570340.40067316 542069.4599397, 570699.41604005 541914.14669023, 570862.60950978 541821.70454083, 571195.9892341 541829.59524256, 571414.5806162 541649.04397631, 571485.6677482 541492.8479948, 571599.40202615 541266.96416398, 571751.18219804 541116.31975872, 572176.45607667 540844.08544686, 572479.34009373 540700.22164303, 572615.05473682 540816.65749845, 572792.47908228 540937.09160524, 572923.22175701 540904.7656413, 573263.17956811 540598.01996363, 573383.89714501 540486.22911899, 573612.61080277 540454.84622081, 573816.03539632 540351.01202671, 573997.1638503 540260.61953021, 574653.25284531 539582.24978514, 575462.90951395 539244.22110483, 576041.94699006 539063.74683755, 576422.59107987 538978.78409221, 576948.84876204 538969.78540586, 576942.56175943 538812.31393191, 576752.74868908 538589.4152504, 576262.68049907 538048.40355119, 576033.75447501 537634.24330653, 575867.53399687 537188.03299925, 576015.78870032 536736.73868781, 576301.37026144 536049.64166094, 576384.87796346 535834.27288377, 576166.73244528 535312.12460434, 576206.80836642 534840.68902317, 576430.69565219 534040.99758794, 576542.3041631 533466.95568095, 576599.09808078 533214.44136513, 576695.21708213 533056.78501559, 576936.98774565 532695.48919685, 576909.0791413 532369.83149971, 576856.36719801 531601.41620745, 576763.59439114 531314.68145748, 576558.16538191 531058.90344116, 576434.80970905 530854.20211204, 576362.68848953 530649.40233518, 576341.27147563 530167.83871081, 576361.01935517 529778.41837461, 576411.64564279 529460.66735365, 576666.91246863 529079.8596749, 576662.55965838 528888.49514707, 576584.07908855 528538.11642873, 576419.24876263 528077.3205617, 576508.64738284 527626.92392903, 576223.22914738 527380.9046335, 576202.18865103 527094.03116416, 576334.92961329 526847.85247704, 576539.49630826 526652.77182396, 576580.09373968 526447.75656004, 576610.60038555 526324.73573499, 576784.98322899 526183.12736009, 576914.06910198 525925.72483566, 576862.74531881 525667.66858674, 576846.0290948 525263.02678512, 576956.42372858 524971.48901031, 577060.15003898 524644.64635953, 577119.30449371 524407.60160207, 577159.94233328 524223.0807803, 577497.71907319 524027.7503536, 577651.11098852 523863.51007778, 577681.6962563 523781.47730112, 577813.89670506 523248.3906568, 577946.64031592 523002.21525247, 577946.09811823 522715.30452279, 578089.22440469 522540.83778809, 578365.81940865 522513.16074765, 578529.30466522 522524.81272265, 578706.46161988 522386.92993659, 578769.99595931 522251.25525035, 578883.46426801 522167.31612442, 579016.7165354 522003.60173111, 579122.68027899 521760.1288174, 579243.29220566 521644.35352874, 579318.53947237 521377.08963666, 579521.29955116 521073.70368972, 579752.27941844 520935.72098922, 580128.88878233 520855.27421645, 580319.61917089 520733.19559778, 580524.05229083 520466.39526688, 580586.09213608 520170.66401808, 580633.5148344 519947.30975791, 580732.49810373 519747.57624444, 580768.48765704 519638.07330689, 580618.04853789 519141.98966152, 580664.58081546 518908.6253192, 580602.77389391 518734.54649552, 580476.86766204 518267.13461482, 580468.39540369 518109.7464131, 580587.58918515 517780.52816832, 580651.74318047 517525.33845919, 580626.3691143 517198.37157547, 580727.46786574 516895.1800623, 581022.00400307 516631.49631262, 581348.62093577 516467.42491187, 581715.42601836 516474.71393142, 582073.96672353 516326.53097644, 582370.60147759 516138.82103528, 582838.64360467 515898.5115658, 583056.49548829 515799.40178916)"
