fid,1930,WKT_geometry
18,0,"LineString (553185.07105712 630215.62650138, 554991.91257976 629771.65255793)"
19,0,"LineString (552003.35101125 630113.06102828, 552282.47040355 630445.04272106, 553185.07105712 630215.62650138, 553132.17957658 629720.76459305, 554874.10684707 629131.35163132)"
20,0,"LineString (552180.41905275 633561.96036191, 553925.83606818 633256.83773521)"
22,0,"LineString (549288.1090509 633112.70403049, 550272.87855632 632711.44277211, 551916.41306862 632309.25107769)"
23,0,"LineString (545822.15411275 631585.55736587, 550372.23228249 630161.929741, 550676.42926578 630200.05825802, 551219.46900435 629991.76617716, 551199.65946849 629817.11030782, 551800.17276595 629667.3152531, 551800.17276595 629667.3152531, 552821.64774292 628987.80590038, 553919.52653222 628277.78842186)"
25,0,"LineString (552350.90134256 634950.79439448, 555328.52263546 634428.95321842)"
26,0,"LineString (552283.44887871 634305.36900028, 554655.30969025 633950.63182171)"
27,0,"LineString (552001.70373184 633356.86601686, 549124.75634248 633866.99947194, 548599.14068254 634003.35366839, 547770.644958 634125.09240183, 546896.51766532 634153.73960275, 546398.94605705 634144.65158545)"
28,0,"LineString (557393.77402745 638705.43855498, 558299.62449057 637784.37711937, 559049.36080845 637433.25409939, 559271.73139919 637063.9386051, 559626.74090731 636694.31798151, 560343.61754015 636123.28877066, 560819.6811706 635613.91232504, 560808.65576373 635492.98039549, 561081.10043763 635353.31867929, 561554.15552443 635548.01421656, 562033.6898339 635307.39267518, 562639.98554034 634578.84430089, 562720.59943763 634329.82084512, 562887.83782641 634146.0762716, 563705.87030303 633209.5195985, 564126.68174276 632599.54686344, 564506.00276614 631992.99298447, 565590.20613108 631117.01384052, 566112.77644569 630848.54938126, 566687.57076743 630710.47292467)"
31,0,"LineString (552497.82830258 635790.25996219, 556233.75220192 635142.86202835)"
32,0,"LineString (556732.59504556 640980.87448114, 556998.9000436 640915.09059417, 557101.28538803 640784.04869279, 557146.74480874 640633.87066511, 556995.0101914 640069.83560046, 556845.36273967 640098.29654948, 556634.9396855 638980.1366953, 557393.77402745 638705.43855498, 557393.77402745 638705.43855498, 556542.77408757 637020.92547361)"
34,0,"LineString (557146.74480874 640633.87066511, 557649.36556904 640581.02853603, 557827.75226843 640308.09716351, 557225.21924635 639035.6188449, 557393.77402745 638705.43855498)"
35,0,"LineString (556028.07673591 639211.91369213, 556634.9396855 638980.1366953, 555917.95979183 637213.02992553)"
36,0,"LineString (551572.1327837 643343.21947444, 552303.80421817 643315.87448642)"
37,0,"LineString (550016.07613938 643058.14558377, 549088.51329977 643153.06721916)"
38,0,"LineString (552099.15070177 642935.28251197, 551509.29112577 642964.34567777, 550016.07613938 643058.14558377, 550008.91301599 642760.52218271)"
39,0,"LineString (555781.03418353 641961.4040896, 555964.31094313 642034.30558735, 556230.57979337 641970.59260642, 556504.87923317 641921.52055894, 556719.02705877 641848.09045851, 556893.01091284 641522.27417057, 556877.22132214 641358.8128911, 556732.59504556 640980.87448114, 556304.99966895 639810.94685897, 556028.07673591 639211.91369213, 555322.1486621 637523.71823861)"
41,0,"LineString (553535.0272922 644593.30716781, 553622.61930107 644850.00224442)"
42,0,"LineString (556757.53534568 644239.83751702, 556147.99745894 644624.86156067, 555343.20555836 644921.54441582, 554992.54611122 645072.86044442, 554260.1473668 644782.49041875, 553622.61930107 644850.00224442, 553429.24237355 645164.26587028, 553412.17658477 645298.00250575, 550194.62145687 645413.25955886, 550131.89228236 644463.03672858, 550344.97762351 644274.89711994, 550370.49702608 644119.54731622, 550909.69432011 644114.97616522, 552021.600605 644262.81985563, 552346.3247457 644173.19723458, 552896.02902224 644249.08154243)"
47,0,"LineString (553412.17658477 645298.00250575, 553568.20338348 646328.20831575)"
48,0,"LineString (558852.76959226 641458.08387806, 558812.68134765 641499.85064364, 558845.04289902 642820.50247, 559280.96465614 642811.31498264, 559372.33050326 643147.55369383, 559993.49756456 643159.04763454)"
49,0,"LineString (558852.76959226 641458.08387806, 559075.24740015 641470.25339064, 559271.4329431 641480.01586662, 560690.40427787 641447.6934023, 561782.23841164 641638.61637741, 563089.64090449 642730.42289652, 563750.49542213 643418.18429947, 564061.85771678 643760.3745972, 564574.76716222 644757.45061397, 564886.92520882 644769.62285316, 565159.40722156 645086.02098913, 565048.17902364 645287.7413728, 565373.24475411 645771.94046328, 565562.94954339 645762.82255069, 565611.96501748 646218.38049052, 565965.83745274 646654.40128439, 566133.86061747 647353.37057171, 566135.28610385 647449.72192418, 566149.06473087 647550.43197552, 566070.95444432 647990.30593644, 566174.18019412 648485.13355465, 566004.07201324 648855.04096534, 565935.42304336 649464.94610818, 565829.32172918 649728.25083887, 565710.06731941 650389.06108547, 565642.46663572 650938.9099532, 566803.79126123 651578.570513, 567107.80634155 651488.58641396, 567668.78873148 650918.34803794, 568525.5843028 651274.5775223, 569354.72222608 651232.09456985, 569547.00875882 651417.29621345, 569799.29069754 651397.2913534, 569829.02820816 651295.7872263, 570372.2730139 651066.42008336, 570977.90535976 650868.38895954, 570977.90535976 650868.38895954, 571032.94179413 650800.98890306, 571039.73758041 650411.65856792, 571193.33562374 650275.54665272, 571324.99558151 650209.48406483, 572218.05167162 650077.99328985, 572218.05167162 650077.99328985, 572485.48195482 649591.70703376, 572651.81937595 649615.84371851, 572813.50982296 649372.15313274, 573544.02202899 648465.14184264, 573773.69089726 648243.35319462, 574161.85402135 648198.34018215, 575884.58397311 648298.89845098, 576179.9923021 648738.15310094, 576911.17605971 648778.48967081, 576912.54422682 649360.76896039, 578793.36180282 649292.16504429)"
50,0,"LineString (553882.18618772 640653.0165672, 552474.63753502 640816.6567003, 550928.74646864 641046.70689533)"
51,0,"LineString (537184.47265507 628819.98849668, 538092.69553493 628976.70610203, 538199.64587544 629057.34640504, 538213.08587889 629140.90529356, 538315.90231599 629467.13031167, 538574.68093707 629638.48411653, 539034.33386289 629740.96731726, 539460.67699065 629644.83231423, 539722.22566403 629614.1815343, 539880.50303305 629803.38260607, 540177.15914716 629897.63684881, 540416.70433494 629934.70099869, 540791.45436139 629694.4324187, 541575.39680519 630193.75114896, 542243.31463861 630443.29982912, 543479.65081222 630507.06969573, 544254.45667809 630549.31366588, 545071.69883761 630786.82771298)"
52,0,"LineString (566917.341761 602111.73109529, 567392.16108018 602272.84056787, 567460.7860737 602463.4825926, 567737.19425851 602851.07962393, 568088.98006552 603109.94758206, 568364.45719786 603230.7621253, 568639.4678611 603495.40201752, 569145.81158266 604265.84116787, 569228.21838563 605014.93173109, 569494.34823031 605358.50448092, 569613.13398588 605630.68233595, 569759.69476454 606847.16124597, 569688.87555532 607302.23646997, 569563.46583485 607645.42087634, 569437.05995561 607535.70933577, 569324.12762704 607668.59233385, 569233.84726595 607804.6605864)"
