fid,label1930,main_body_water,label1882,alt_label,wkt_geometry
116,,Suriname,,,"LineString (574692.16382065 597586.723247, 574728.4779186 597435.61686369, 574875.46961562 597249.34564908, 574837.29086868 597127.77703139, 574717.77570503 597048.31347513, 574679.313326 596923.52832329, 574763.55757545 596826.65254312, 574914.54767047 596672.92123299, 574951.65696639 596457.11077073, 575106.54943621 596386.10734384, 575244.74792551 596411.08801908, 575293.30679599 596582.89497806, 575324.26859635 596732.8917708, 575334.35159365 596818.88346634, 575555.81561911 596875.94610556, 575714.35585699 596796.24732376, 575925.63522239 596581.16918676)"
119,Pikinallin Kreek,Suriname,Pikinallin Kreek,,"LineString (574115.11723123 568263.10371619, 574236.88717779 568454.12308646, 574301.09114296 568803.1598716, 574344.02484391 569099.33595555, 574288.0438014 569303.42856392, 574096.06200869 569496.74509636, 573995.12955558 569689.95646927, 573963.04731537 569819.42002394)"
120,Kromatta Kreek,Suriname,Kromatta Kreek,,"LineString (576646.01257432 565264.5406444, 576995.34256706 565199.70892839, 577398.73349821 565177.73361405, 577774.67201754 565158.50317487, 577918.21145317 565154.56054743)"
121,Companie Kreek,Suriname,Companie Kreek,,"LineString (578381.08217377 566342.64550849, 578232.37056884 566365.84220821, 577858.22867791 566559.20318311, 577632.87132212 566590.3196338, 577331.86572569 566478.0533121, 577095.70857114 566507.31468134, 576663.38364227 566670.53349644, 576423.2104529 566683.37945818)"
124,Orleana Kreek,Commewijne,Hoer Helena of Orleana Kreek,,"LineString (578780.95020794 635390.84417278, 578807.27926029 635802.75958065, 578882.4474731 636196.16935468, 578940.45266503 636482.75932544, 578975.58209129 636796.16279862, 578994.05061031 637108.53944386, 579005.32771904 637386.00534374, 579061.32676971 638241.3583941, 579037.65636477 638489.19775362, 579059.59173306 639079.58339818, 579069.92875149 639595.61324029, 579107.3316656 640063.84144745, 579119.08404873 640186.14950828, 579114.77952443 640350.82587378, 579138.78016331 640638.18604012, 579154.42184209 641035.01829964, 579155.70738198 641252.6907214, 579144.64685372 641428.57333625, 579141.29895577 641633.11037623, 579079.34632574 641936.03031432, 579064.66319631 642197.93837785, 579070.43476787 642429.56976231, 579120.52393698 642662.54915786, 579197.55821745 642921.9500385, 579234.10112684 643027.26541873, 579310.69181327 643349.39616522, 579346.1834163 643839.02925995, 579340.90795355 644035.92466827, 579348.75887852 644123.83474148, 579389.726165 644706.96430439, 579422.46218418 644810.10815633, 579390.88108924 645035.36659978, 579380.32802756 645270.53868816, 579329.80408693 645579.16643476, 579366.52181414 645699.99700096, 579532.6936447 645961.53479474, 579631.50015816 646211.51199682, 579689.2668714 646596.18331633, 579840.95288396 646956.70153286, 580053.83740966 647505.2833841, 580070.88556381 647821.53872362, 579961.60671712 648079.16798805, 579791.25003179 648234.17328248, 579752.73007068 648409.21211892, 579837.04112262 648534.51546864, 579932.81674183 648620.30733638, 579956.21231213 648815.22365857, 580021.35054185 648878.1495767, 580179.24779594 648863.18915799, 580320.21928992 648914.01070664, 580461.60090996 649126.04235431, 580626.16291677 649303.01397029)"
125,Panwatra Kreek,Suriname,Panwatra,,"LineString (578381.08217377 566342.64550849, 578493.64851275 566173.73524459, 578628.38257624 566027.78033139, 578825.4603062 565911.93016018, 578971.64391553 565756.50292314, 579156.74945555 565495.36113036, 579292.08605524 565130.18073574)"
128,Commetewane Kreek,Commewijne,Commetewane Kreek,,"LineString (584697.83895546 638015.76541079, 584836.56878778 637856.93899235, 585143.6124233 637743.0111709, 585508.68764164 637544.84465765, 585712.32219047 637476.44348175, 585915.27322501 637532.66021105, 586413.48521809 637835.50347566, 586960.2514417 637873.05740475, 587025.29188081 638025.72345366, 587010.185499 638244.69576952, 587011.79337732 638521.99289236, 587112.01452263 638783.27899275, 587438.76750115 639180.70563199, 587491.8439068 639279.96587765, 587355.10449181 639448.45419894, 587408.88047507 639784.69497792, 587458.60131286 639983.84247488, 587577.75894939 640176.14184864, 587588.62593206 640292.39764951, 587520.89321672 640386.32510531, 587547.04119961 640597.38569849, 587614.05751574 640774.83835078, 587653.927732 640949.57352612, 587700.01471623 641041.21519733, 587880.68173872 641569.38670109, 588065.21736845 641895.01366298, 588217.48715199 642527.8837785, 588404.08928207 642688.56452829, 588447.9449282 642872.13589765, 588488.00469207 643163.00043586, 588621.13987004 643478.05802311, 588710.22089408 643731.08952495, 588832.15153529 643949.22977213, 588806.27071582 644138.99749024, 588579.37769543 644392.96176222, 588456.07320476 644622.94170828, 588457.59669456 644905.07344632, 588592.00585684 645239.49762388, 588711.10723435 645435.02007445, 588830.25896261 645720.01103573)"
130,,Suriname,,,"LineString (582045.96294026 602220.62331781, 581759.44084678 602111.26343065, 581523.05840544 602001.7940134, 581296.06307427 601746.73568936, 580909.7154706 601103.84147144)"
142,Buffel Kreek,Para,Watjecal of Buffel Kreek,,"LineString (561040.42980727 604210.401501, 561624.49280445 604180.02112542, 562031.86996126 604069.13750984, 562303.57233155 604049.13287512, 562853.44637516 604009.10957426)"
149,Klip Kreek,Suriname,Klip Kreek,,"LineString (566746.42185009 570720.14330413, 567610.65969777 570972.86488717, 567962.36745021 570956.87469958, 568103.18471884 570937.26921639)"
