fid,label1930,main_body_water,label1882,alt_label,wkt_geometry
502,Koekwi Kreek,Saramacca,Koekwi Kreek,,"LineString (526581.20615942 640532.84998489, 526563.79681808 640606.69945622, 526357.38420094 641090.98465942, 526196.43131469 641335.37247501, 525945.89152246 641466.40975647, 525685.25686979 641573.30067318, 525621.12320926 641566.66185924, 525452.92954909 641448.13289681, 525129.81060977 641858.39642057, 525129.81060977 641858.39642057)"
503,,Suriname,Dominee Kreek,,"LineString (557741.65054343 642706.2925738, 556825.79258333 642859.39301041, 556391.89128054 643151.65670385, 556169.04890921 643173.55944623, 555970.24011245 643089.21632076, 555430.13507706 642099.94631051, 555352.42736681 641934.16291833)"
506,Suriname,Suriname,Suriname,,"LineString (560135.05378653 654856.60745535, 562202.55584562 653609.43773958, 564123.05241498 652305.8441033, 564664.68291473 650973.51998983, 565037.96513053 650131.52955397, 565406.47237518 648828.16125106, 564806.55080495 646812.51965286, 562983.41853066 644898.92445133, 561284.54873107 644291.32900374, 558386.61463261 643576.58584486, 557746.81244297 643142.71340442, 557741.65054343 642706.2925738, 558044.80371046 641602.41034892, 559293.33011069 639282.17093071, 560187.61123193 638614.67323686, 560719.02677946 638072.5913851, 562183.31255831 636361.68277495, 562967.30490188 635165.98848477, 562967.30911747 635165.9833019, 565124.70927778 632366.4691135, 566666.92988094 631194.03879885, 567989.5964414 630778.65403208, 569412.83665857 630735.55573212, 570695.67659146 630623.5791468, 571438.89706199 630526.934109, 572081.89224504 630305.50603162, 572753.13820695 629653.9225265, 572951.13725774 629225.0181322, 573080.44515004 628466.39733191, 572819.80069559 627513.9744774, 572081.94846457 626933.66086915, 571051.63790969 626473.39715032, 569524.45571169 626271.3088506, 568828.61407062 625628.10112339, 568479.14047279 624620.38057593, 568390.43269734 623828.47974502, 567983.00635943 623193.72103491, 567545.45383793 622827.53444957, 566756.47148971 622462.43246578, 566026.17652784 621818.57560875, 565942.55262823 621252.9056573, 566080.54971458 620920.0122897, 566543.46384796 620374.80709148, 567015.19311762 620114.94597455, 567422.81746975 620120.50065057, 567720.8583642 620307.46189058, 568207.99587035 621314.21151312, 568552.63273176 621887.66152156, 569518.20555543 621981.89306921, 570457.9611388 621708.1312715, 570927.71499013 621502.72210522, 571445.95767628 620887.12152594, 571307.3074422 619595.07785516, 571056.48468224 618449.38291068, 571313.97528654 616996.6028461, 571802.33698833 614877.2484201, 571603.64604732 613700.22285186, 571234.37671316 613032.22619321, 570904.51800411 612379.05165169, 570682.24554308 611814.18563941, 570683.19946855 611399.33547439, 570837.67560387 611036.67645044, 571125.82719987 610977.30439191, 572019.08937527 610586.58551901, 573381.28448662 609827.14547259, 574699.78937359 609216.06799924, 575280.93164844 608697.19890729, 575524.61873424 607713.2469662, 575895.4329514 605693.84534552, 576110.16428272 604779.92896608, 576518.59679693 602547.14788465, 576663.12413401 601719.69977182, 577358.452525 600152.49537008, 577796.94257475 599623.27451817, 577958.08867333 599206.60487566, 577853.85702605 598876.87225328, 577736.3139719 598848.4421288, 577009.49030483 598849.58908283, 576546.78919823 598798.83387606, 576073.79368084 598476.36832277, 575999.57612726 597820.04317231, 576134.95173497 597593.30646842, 576426.77509762 597155.76159356, 576519.04651498 596662.24051873, 576403.35065382 595697.83812682, 576057.38105077 594622.00774626, 575275.83301861 593060.22148374, 574136.61763909 591973.49807991, 573140.7287075 590331.56540144, 572381.03864906 588973.17103638, 571918.54741156 588927.81966922, 571521.32102866 588909.80372742, 570748.58653579 589034.95012529, 570480.04218616 588904.52437284, 570061.64525153 588261.19777512, 569596.53997013 587802.59496706, 569053.35898431 587706.06411995, 566995.3482154 587766.8631725, 566527.59195332 587597.49551633, 566162.21015575 587104.2848738, 566148.77248563 586674.66306991, 566177.56886679 586224.38490737, 566283.24630021 585526.60875318, 566740.47854743 584678.20768014, 567149.01458845 584319.80250782, 567713.34164369 583758.99446475, 568518.06555554 583463.53132761, 568977.77163768 583283.43204031, 569617.8171727 582889.5007434, 570571.02765341 582583.73321374, 571433.42939358 582308.62119968, 572138.87308674 582159.7318249, 572455.8827022 581610.69539221, 572390.05353746 581073.83181766, 572200.07724737 580500.40986299, 571913.30330428 580121.41338383, 571219.77514524 579600.7194084, 570506.93127943 579052.27001605, 569925.95720329 578719.72319534, 569501.49110204 578286.73834974, 569352.52183514 577955.28408342, 569256.4720134 577547.37611813, 568974.37941206 576662.01826456, 568803.78303668 575897.64930916, 568576.55452939 575148.87014241, 568131.76732894 574748.60563505, 567889.03122681 574247.86360468, 567684.37317015 573689.75317057, 567968.52489999 572556.62029935, 568067.46986038 571652.20276688, 568095.98356495 571349.8230468, 568103.18471884 570937.26921639, 568141.48921224 570405.1621063, 568248.70644842 570173.28932677, 568408.36626549 569797.43809083, 568454.27620508 568739.75334795, 568517.76502488 568611.89919723, 568775.68515273 568335.10207908, 569253.47624976 568093.90429667, 569473.41461625 568074.04200846, 569760.03568756 568231.96671565, 570965.15148564 568777.93873609, 571592.83337879 568936.11400383, 571823.79427649 568995.23609176, 572596.69323052 569233.47838666, 573571.84299691 569758.67010821, 573963.04731537 569819.42002394, 574244.98598789 570061.45810315, 574662.84772703 570330.71186213, 575625.59787667 570343.96621008, 576144.63410006 570424.69890291, 576905.6820104 570521.06498438, 577452.29479612 570420.98814668, 577624.84558303 570140.28285705, 577583.47117006 568519.61041579, 577724.50894935 567939.99032385, 578277.46269079 567291.93417112, 578435.28825612 566746.59902978, 578381.08217377 566342.64550849, 578178.5582996 565939.32714931, 578005.69725178 565591.33555638, 577918.21145317 565154.56054743, 577936.93838496 564635.81395966, 578098.47704526 563877.75574951, 578236.2890416 563370.75997569, 578581.04940126 563105.95685054, 579276.47906957 562838.32654445, 579505.62969092 562593.34981553, 579462.93756991 562268.5867119, 579258.82614304 561957.08506155, 579073.27383837 561504.13128702, 579027.45772836 561302.07071523, 578995.27584025 560616.15365556, 578999.03620143 559661.89788667, 578918.24156552 559118.84573184, 578837.91964112 558964.3009142, 578586.18941677 558424.71318519, 578448.59346368 558180.50702853, 578330.70981146 558007.57424507, 577863.73008732 557442.04481545, 577639.33453207 557073.42542648, 577637.84136173 556990.2132739, 577539.5553024 556694.46889338, 577686.01205033 556431.04045403, 577863.4396467 556148.00224531, 577997.00408742 555884.34876989, 577687.24865153 553959.01495035, 577559.08057983 553544.09824132, 577528.09117022 553195.35896823, 577623.64930112 552523.1986514, 577590.83963002 552371.09519263, 576620.75709235 551796.40016571, 575881.24480876 551594.61885045, 575400.55382757 551198.68262368, 575141.18482305 550857.3594792, 574691.68133981 550555.74627239, 574211.11176726 550482.79084219, 573342.13188923 549750.73328201, 572188.73119296 548488.43036348, 571227.06977607 546338.22516681, 570720.37893042 545813.53143642, 569850.22808651 545424.35207558, 569699.74798269 545271.80670117, 569385.53455679 544988.09378738, 568969.54697769 544253.1546481, 567685.42028674 543289.06515752, 566018.27420476 541554.68771144, 566316.46705519 539986.55199023, 567433.26515384 538435.92913559, 567267.31131196 537230.45846629, 567586.11294744 535959.29588281, 567332.25220068 534987.64708553, 566499.27392526 533577.08993315, 566772.2743836 531645.76013279, 566939.82675944 530502.57959402, 567030.15280196 530130.1654196, 567045.26284384 529633.92411041, 567388.08143115 528833.89332989, 567864.72661757 528494.01485165, 568584.89553232 528609.75532857, 569405.88729226 528121.13261948, 569681.80157283 527829.33531112, 569328.3556792 527391.14201025, 568966.88837956 527043.08234174, 568106.52660423 526093.08761768, 566844.55787327 524878.15811375, 566687.31769486 524374.07233207, 566073.27037738 523627.46267406, 566192.71503147 523276.14631165, 566497.08337726 522998.39411502, 567106.44862787 522775.50097604, 567761.81629182 522450.89109028, 568092.59320862 521480.15520761, 568077.78536098 520813.18964445, 567504.31736692 519681.20725929, 567403.211554 519008.83821935, 567278.48343867 518489.19964382, 567122.11569316 518258.36807423, 566304.88402012 517444.13859008, 565986.07736923 517115.12832561, 565524.25879577 516292.01202191, 565496.6331105 515935.27131584, 565427.22810134 515663.23890729, 564888.27386178 514770.43931352, 564743.40251016 513465.3908175, 563204.58672848 512226.28457749, 563204.2964406 511504.09033821, 563675.67691273 511096.41472913, 563726.98032308 510650.77808902, 563543.88212198 509319.26987043, 563219.57191421 508412.48457873, 563036.63349734 506332.99750646, 561908.63650942 505939.31742443, 560430.46313455 503719.54379549)"
510,Commewijne,Commewijne,Commewijne,,"LineString (590382.57077094 647731.54502441, 590099.30440951 647635.16679721, 589878.90243382 647606.46913363, 589677.9084488 647582.99852243, 589365.83258933 647545.31062999, 589097.0795166 647611.54882137, 588793.72285066 647749.33134288, 588412.9737122 647782.49759778, 588122.21107803 647654.08531594, 587841.82299305 647424.23908782, 587641.13810868 647172.97557849, 587535.54607315 646842.7586286, 587567.37220521 646266.20762974, 587693.29681831 645932.29752163, 587932.91336885 645688.2275161, 588249.02806083 645679.23705395, 588830.25896261 645720.01103573, 589030.3860754 646039.18265591, 589160.88949264 646264.42488257, 589239.63739935 646426.71121636, 589575.3016347 646903.80261831, 589885.68331557 647141.89823651, 590220.07137533 647190.89292441, 590423.32572121 647178.308074)"
512,Cassewina Kreek,Commewijne,Cassewina Kreek,,"LineString (608811.11326542 626294.01346528, 608722.18512363 626170.75299891, 608657.74539069 625937.49596524, 608647.34437493 625656.01528411, 608774.6269427 625013.42524862, 608707.58368806 624513.73491156, 608505.74307855 624163.62544909, 608298.72663967 624110.03905223, 608039.9603784 624250.60491656, 607524.98398095 624662.35564414, 607284.18965116 624696.84126914, 607060.82463575 624563.9800661, 606921.83362695 624426.00806557, 606302.36361969 623686.69332011, 605914.77415156 623357.52204029, 605422.6234375 622923.35575538, 605139.88017044 622405.79510333, 605096.74613379 622198.7024324, 605111.2522642 621892.63817332, 605236.08078361 621327.41459165, 605314.78850324 620974.14197147, 605250.45594017 620450.78424903, 605056.31796823 620124.82435364, 604892.96207928 620020.51770462, 604750.43037755 619989.10923031, 604223.00049977 619902.95936331, 603915.6221287 619861.59958491, 603507.74662516 619720.19290066, 603107.39513191 619365.83570565, 602808.44423684 618866.28317243, 602768.47009732 618348.83674507, 602859.76885604 618105.40190166, 602974.9687221 618007.60191975, 603149.5202379 617955.45781879, 603527.27018295 617920.41766696, 603579.53717825 617886.73587015, 603700.95927496 617752.54223129, 603716.37338106 617538.56996207, 603627.41473181 617348.2511559, 603225.43970994 617069.91763359, 602885.17429764 617019.33753806, 602591.0304236 617062.56411971, 602135.63650449 617293.19554084, 601822.54798277 617313.52303081, 601520.48995648 617190.62056262, 600842.64061205 616744.67069688, 600599.1581383 616428.12092194, 600527.50276854 616285.01158539, 600535.36048544 616087.85599206, 600647.97982556 615893.77934605, 600765.382742 615895.00540766, 600979.29956168 616088.60559105, 601157.4913848 616217.59282791, 601375.56761011 616138.61167202, 601403.60258511 616010.13867214, 601382.95385401 615900.16024783, 601278.47882664 615651.69613087, 601250.86129785 615386.84124311, 601134.20535745 615189.74944841, 600984.29600026 615096.85912431, 600691.22920398 615170.73306507, 600393.14270251 615070.42021109, 600188.67423225 615055.56699485, 599983.55512326 615355.04815514, 599655.82383957 615858.66408073, 599320.51859596 616122.08501088, 599068.44349737 616156.37372932, 598778.52354585 616327.02436261, 598548.32489018 616447.13249412, 598370.99940716 616447.2613251, 598017.76124293 616597.46238205, 597886.35461779 616645.14158235, 597693.27265197 616633.61283696, 597408.16147214 616427.23086763, 597299.77621284 616169.92417937, 597015.99604448 615667.56786369, 597060.77706919 615318.53913906, 597012.45455029 614946.92890379, 596849.74909098 614663.59575341, 596703.60908778 614354.75928371, 596698.04676546 614119.30590025, 596784.69965906 613772.62008121, 596946.14211429 613204.77966129, 597067.96547271 612888.54201051, 597308.39536748 612214.86864464, 597338.58784297 611947.75584141, 597418.36479898 611455.91029026, 597395.81058153 610900.97849049, 597326.22048237 610454.84367572, 597340.40777076 610296.97270478, 597443.68135565 610005.52573021, 597500.20137775 609722.79511604, 597266.27430785 609086.79637809, 597278.15311645 608498.61299158, 597237.66538969 608016.93260561, 597216.28754464 607856.8637458, 597201.32474108 607728.33392234, 597239.54343409 607662.90782661, 597500.26011294 607548.94552235, 597582.64748688 607505.09626903, 597602.81834235 607353.29105084, 597445.49827183 607223.19469601, 597307.03030401 607028.94622975, 597161.56174891 606958.70183177)"
514,,Cottica,,,"LineString (608004.65120478 646242.76678486, 607941.40791397 646029.76360155, 607908.61262724 645837.38513718, 607901.85621906 645714.4883877, 607972.32400622 645418.36325391, 608104.62954521 645285.43802937, 608304.92797588 645181.46494446, 608697.74614371 645071.77416579, 609098.22793177 645069.24199912, 609815.1048451 645059.03714642, 610027.25716728 645003.09519109, 610237.48037 644872.96621034, 610391.40409027 644643.52072492, 610537.55141362 644397.81920796, 610662.13354867 643909.93685888, 610827.56673388 643390.52697948, 610977.44346516 643115.87403034, 611203.85278797 643008.82759368, 611462.64901463 643024.39750176, 611782.93137011 643146.05416804, 612113.95187727 643206.64115217, 612416.50587197 643201.88035162, 612935.5697616 643171.56099259, 613034.27279476 643122.75959059, 613210.12229258 643009.19768612, 613721.80813559 642522.18939168, 613765.88592262 642213.44912705, 613748.10640128 641939.09378593, 613616.66147421 641408.98239174, 613919.82062311 641152.19666163, 614028.24682942 641060.32099888, 614073.45625184 640819.84574292, 614149.51843777 640645.19273133, 614254.45718384 640543.8545622, 614454.08288242 640466.73757161, 614565.15835752 640383.23884291, 614638.52147074 640336.15851874, 614642.69279431 640189.53665385, 614578.95446903 640054.62565684, 614571.87315331 639906.19534699, 614608.84599151 639819.79112255, 614664.2489898 639693.40786269, 614674.33200633 639577.51774542, 614645.34794823 639206.24506425, 614687.26791966 639113.47907473, 614829.18766042 639017.62249947, 615098.64397084 638911.0958481, 615255.63014735 638783.2616704, 615252.76459766 638670.36959388, 615158.4914313 638530.08952103, 614929.54046046 638532.54128458, 614569.93844816 638630.56926875, 614334.38461619 638643.05500585, 614133.41422566 638539.98080037, 614125.76845546 638404.05730447, 614150.47892002 638303.49879192, 614336.81398222 638196.97555614, 614722.51952518 638109.80007608, 614760.84257974 637946.04200844, 614629.31400499 637353.56471125, 614674.20432643 637183.65185415, 614816.33699826 637104.0795938, 615282.73883601 637137.85283444, 615355.5030731 637032.72899836, 615351.89799975 636869.85110193, 615171.56256692 636809.44125805, 615022.88284409 636786.73070971, 614926.59853294 636705.82884299, 614888.88205635 636486.74706033, 614883.53836513 636273.28512221, 614969.50433401 636150.65939979, 615079.70779437 636117.11836149, 615244.27570946 636201.39838996, 615555.23324069 636514.03297643, 615629.71102207 636469.27495156, 615674.47867505 636348.85433075, 615745.19467335 636040.87887574, 615781.80956627 635744.09856633, 615826.96045184 635645.32031393, 615978.43089766 635423.51269454, 616039.82182095 635231.1407488, 616185.31034908 635207.88779007, 616173.94702179 635073.89100205, 616179.61736574 634933.74342026, 616242.19788482 634765.57268003, 616276.32331633 634611.41351902, 616317.02556246 634496.05786239, 616388.68459229 634361.89820561, 616492.90219969 634285.17478058, 616657.09195445 634223.11265673, 616751.96765703 634144.16724815, 616735.04833386 634005.23739166, 616694.35790428 633935.20987326, 616718.60721233 633838.91138237, 616820.98617323 633884.22320764, 616921.35162615 633860.1826227, 616904.56479405 633621.30925589, 617054.14025722 633456.26904746, 617043.03579598 633355.76829172, 616934.39190104 633297.8119801, 616826.24111186 633317.452586, 616628.66335919 633132.91965161, 616543.93058423 632854.95276976, 616411.5212559 632684.17421312, 616255.05322708 632597.61752459, 616095.1405498 632496.95917783, 615954.21711425 632398.63171028, 615959.77096388 631999.16563918, 615859.28905251 631905.5969392, 615977.41546562 631787.56265293, 616072.41775097 631701.36532155, 616250.5263638 631286.95860373, 616360.33151466 630906.82429139, 616401.39944439 630770.51863556, 616517.75145032 630569.43386267, 616957.21507544 630512.62355268, 617430.68095586 630544.58802882, 617906.44121381 630676.11201468, 618333.48518204 630720.41778863, 618585.67279865 630679.68291659, 618768.55496482 630891.58172224, 619240.86652612 631377.84389107, 619573.41561842 631641.57575157, 619803.53040022 631848.05038759, 620198.64269565 632073.55315574, 620538.42525301 632216.17974053)"
516,,Cottica,,,"LineString (622340.59758204 648669.77465699, 622332.83869028 648447.19072223, 622380.10818585 648278.32288576, 622562.21918113 648009.44277901, 622777.99520061 647614.34376204, 622784.13784168 647475.25157956, 622585.91035231 647350.18610905, 622334.56662092 647342.5748291, 621293.42860051 647484.0931839, 620785.61363771 647612.54650414, 620664.77232578 647788.97713497, 620595.43032208 647887.91578809, 620702.58200118 648065.55596826, 620923.22184233 648220.67617971, 621270.91446845 648238.54680603, 621536.05650647 648205.58077812, 621736.70841498 648256.85998883, 621887.08891947 648373.27699203, 621946.2187515 648761.26340668)"
517,Onobo Kreek,Commewijne,Onobo Kreek,,"LineString (596946.14211429 613204.77966129, 596622.40973831 612770.03122047, 596492.68599688 612618.28948619, 596285.43090387 612512.00510272, 595910.23151131 612522.54166065, 595051.40671499 612962.14310956, 594705.24354004 613030.25416137, 594170.8878994 612982.23824331, 593767.42439628 612823.66499784, 593398.72331683 612520.61588651, 593137.73398814 612142.06947947, 593037.50544698 611925.93497621, 592849.30539799 611661.1053178, 592279.23858731 611319.48731439, 591904.01243849 611320.31784523, 591425.40377142 611379.6023756, 591024.51353219 611477.53188869, 590455.0302447 611401.15888019)"
518,,Commewijne,,,"LineString (597015.99604448 615667.56786369, 596828.43874091 615699.75868563, 596610.92475951 615667.89564609, 596329.48068606 615655.58469353, 596046.71012583 615786.05938485, 595737.87365612 615932.19938805, 595469.30958138 615893.98237615, 595304.49292696 615962.27853512, 595102.7188034 616117.78030595, 594911.15079682 616195.03794408, 594799.97462025 616099.59965136, 594564.05485172 615947.17495146, 594239.84618176 615865.75048616, 594051.67002903 615933.3951529, 593669.39421405 616223.33591378, 593234.91850456 616733.21355024, 592948.97663014 616491.2540941, 592613.85653505 616111.41372971, 592307.43920298 616118.96143051, 592019.27509747 616004.31350797, 592004.53682042 615800.1894916, 591849.0111264 615684.08608233, 591472.78214993 615543.40620541, 591134.52786296 615527.82977845, 590888.8635814 615439.82182679, 590671.63846882 615354.10717484, 590412.4135158 615154.13063949, 589900.30317884 614695.93682711)"
520,Tawajari Kreek,Saramacca,Tawajarie Kreek,,"LineString (537166.16578029 638895.21190288, 537255.79308153 638932.2410001, 537356.20311577 638949.17680425, 537448.72761742 638961.40115539, 537666.81160559 638842.69359098, 537894.11475204 638749.93941801, 538081.91943604 638632.16190259, 538343.90640278 638470.84932685, 538721.56897854 638445.20086358, 539089.16851079 638441.94516087, 539297.13319644 638348.85343381, 539448.9953062 638145.16443329, 539510.55500653 637943.12325715, 539689.23070591 637865.64058296, 540147.55459019 637836.56397986, 540585.89638688 637816.94867022, 540713.83947879 637817.2971901, 540901.94331149 637746.56200222, 540931.17016558 637711.24298862, 541107.54812207 637680.54358271, 541277.67676779 637646.72651353, 541603.48881968 637636.29329003, 541820.78518164 637562.70880082, 541890.83267307 637428.52101452, 541874.75723512 637241.24500603, 541998.13429777 637191.81361979, 541994.44483589 637033.77033856, 542218.46864653 636944.18298337, 542376.11811466 636963.0550591, 542498.43807257 636789.47895704, 542559.32266473 636626.1147025, 542519.32249627 636373.42466414, 542499.45805498 636176.92558798, 542577.87380043 635961.49953854, 542634.45710059 635831.08365416, 542682.61816259 635657.82513316, 542598.35178071 635498.37537656, 542578.67211743 635381.94966701, 542692.87361624 635254.99679216, 542819.9238278 635179.83705054, 543003.07115124 635003.72116625, 543031.81687565 634841.89011418, 543012.07805763 634699.58229437, 542901.72907881 634547.77670209, 542993.56308256 634240.39619449, 543209.57689387 633913.13524219, 543356.02182524 633835.08997785, 543604.53629294 633820.08346119, 544032.98370432 633423.45816397, 544377.99316019 632914.72744164, 544509.84609 632568.25012199, 544557.06999281 632260.14524319, 544621.24186528 631570.25946344, 544695.18691734 631366.26773532, 544807.41570224 631216.69593222, 545059.24300968 630803.349978, 545090.36235966 630522.01402384, 545170.73787671 630165.54645637, 545406.79561889 629777.73415964, 545687.09628009 629397.56135386, 545859.19699488 629142.64067862, 546153.04326089 628931.75784435, 546272.86417483 628905.80935429, 546566.07079652 628542.4080338)"
521,Matappica Kreek,Commewijne,Matappica Kreek,,"LineString (587797.81900395 654674.54538315, 587784.1790166 654532.44870887, 588076.95636132 654382.8043338, 588481.62851401 654372.12865227, 588934.95295885 654565.1405409, 589119.4598165 654618.07688598, 589342.7029492 654636.95639902, 589869.75041336 654545.13433494, 590121.50041634 654539.39418821, 590289.70766603 654600.303669, 590422.99087118 654878.17584019, 590543.94161123 655411.6217011, 590505.42614652 655955.81534918, 590523.03689082 656239.83992069, 590603.85515984 656412.12572548)"
522,Paulus Kreek,Suriname,Paulus Kreek,,"LineString (564149.77983622 636271.51919291, 563852.6261049 636487.18038337, 563487.77144782 636517.8884979, 563446.11279843 636688.03646013, 563535.00605829 637121.00078239, 563531.04696834 637363.34728179, 563685.36899812 637480.49507041, 563967.96789764 637529.08300052, 564240.53142889 637440.4152213, 564359.69646931 637465.09643746, 564550.59855386 637353.78374386, 564512.62631806 637187.03728478, 564374.13354438 637094.21468132, 564133.2596589 637125.60641543, 564017.24886712 637030.08373419, 563982.7713986 636881.17522271, 564044.63197015 636787.20830311, 564212.48983477 636630.07088202, 564250.19286879 636400.59309955)"
523,Paulus Kreek,Suriname,Paulus Kreek,,"LineString (562967.30831523 635165.98140014, 562967.30911747 635165.9833019, 563591.50344882 635562.15368167, 563912.39283691 635833.73967817, 564100.35864513 636083.61406844, 564149.77903234 636271.51728661, 564149.77983622 636271.51919291, 564250.19206475 636400.59119285, 564357.22637419 636392.81833208, 564506.26737672 636258.39735325, 564645.24253038 636118.67951491, 564903.84648006 635738.20350772, 565117.27278655 635701.62814269, 565402.69201688 635788.82365341, 565498.74549869 635919.46262537, 565492.21553701 636179.81125974, 565213.53095982 636356.3188314, 564893.22168274 636439.25084125, 564845.73572891 636573.83244064, 564954.30560017 636681.88561472, 565071.36741788 636761.5422083, 565371.41116832 636934.4305493, 566071.45690274 637023.3947619, 566438.73594726 637017.54194871, 566567.93525433 636792.86084436, 566591.11620469 636599.46208197, 566153.26653182 636025.3625921, 566049.23222241 635673.87172799, 566117.03724475 635234.05279141, 566212.2024532 635054.14568903, 566349.6605707 634917.12485027, 566505.43717838 634858.58682377, 566757.17472288 634843.63656613, 566990.43400475 634963.77423901, 567062.94141621 635150.42324187, 567243.6359563 636157.87159451, 567527.19497907 636628.69763297, 567858.47607424 636880.2608633, 568108.05653717 636967.69060728, 568334.23450333 636939.39797031, 568812.87057957 636593.14379938, 568972.85053355 636336.62606599, 569029.7830937 636156.80832072, 568942.1167015 635915.08571719, 568697.02461407 635735.96322137, 568246.98472101 635657.92367417, 567979.2842566 635479.15176972, 567859.32268091 635148.20383453, 567931.38176062 634895.71143373, 568148.8334219 634692.58580532, 568333.04536679 634619.16825099, 568497.72424353 634591.9128256, 568767.84384558 634632.09242764, 568860.44013025 634533.84798894, 569456.77834164 634505.48329539, 569978.99250719 634730.50818942, 570377.059 634932.21782232, 570789.71425764 634828.04563913, 571030.16380668 634651.63072974, 571033.24039704 634326.66077942, 570774.79903697 633986.84755299, 570141.58062385 633692.07750965, 569849.4457614 633435.50168988, 569852.63438225 633206.64917232, 569991.45355075 633057.54150609, 570187.44951441 633037.87933088, 570584.72471803 633055.00085761, 570953.57826157 633164.60910192, 571819.22838429 633811.63460677, 572974.59264214 634536.57657207, 573162.09750672 634612.60705152, 573314.9137894 634566.37918253, 573448.31620386 634390.21194601, 573476.99140674 634146.85655442, 573598.90123859 633812.07035335, 573892.89181221 633315.86083374, 574091.48781229 633227.4752752, 574190.80286921 633298.22909302, 574336.49873612 633481.40124332, 574371.50235097 633741.28807536, 574467.47277817 633913.10487027, 574573.8901271 633920.97452364, 574745.29576069 633798.22812671, 574817.40486263 633638.28385552, 574969.65262901 633320.14749909, 575162.3095299 633088.15404505, 575429.29410374 632846.17377955, 575474.04064389 632729.47817915, 575410.52189316 632536.33646413, 575207.29927771 632542.46137659, 575078.3762057 632540.211016, 574902.40459911 632185.71701045, 574919.74952496 632023.20479761, 575120.7535694 631867.12242542, 575174.37625224 631750.38026645, 575115.72570772 631601.04981237, 574798.50946855 631303.73546047, 574766.7487457 631183.89089921, 574774.1349896 630945.43947502)"
525,Watromambobbi Kreek,Saramacca,Watromambobbi Kreek,,"LineString (531242.63768331 591419.42832833, 532599.89033618 591499.85146512, 533505.24025687 591795.51630604, 534404.92184382 592205.84597123, 534812.90197333 592424.46468152)"
526,Boenhatimama Kreek,Saramacca,Boenhatimama,,"LineString (532070.18359858 589657.98689241, 532699.74073033 590097.6132302, 533366.50533474 590387.04077282, 534118.15050485 590882.69602627, 534710.11571011 591294.24995892, 535283.56655489 591596.03690249)"
527,Tapoeripa Kreek,Saramacca,Tapoeripa Kreek,,"LineString (537581.85383875 592510.37131641, 537257.73821727 592367.19363394, 536912.4588736 592199.96382034, 536815.13140748 592049.95825808, 536698.74380831 591958.71479606, 536661.05425265 591883.73780888, 536435.90200836 591893.60250959, 536285.44526507 591734.42696561, 536097.58032008 591631.62480338, 535982.57225093 591538.92082799, 535881.14679646 591331.85650578)"
528,Maripaston Kreek,Saramacca,Maripaston Kreek,,"LineString (533012.40781941 586674.45631069, 533453.63465878 586795.48943757, 533697.81316609 586907.55854462, 533914.02415837 587104.12769443, 534214.43611201 587187.92989231, 534580.62324279 587318.50351028, 534997.00081333 587510.98846131, 535548.03076804 587804.32389977, 535642.5489435 587838.21430871)"
529,Brakka Kreek,Saramacca,Brakka Kreek,,"LineString (535106.42762771 586690.76351822, 535391.15947875 586833.59364058, 535653.14561131 587138.77851358, 536040.12747973 587582.7940861, 536205.77458635 587675.7371105)"
530,Krombie Kreek,Saramacca,Krombie Kreek,,"LineString (535585.16255415 586323.51701668, 535821.43985402 586599.01444589, 535933.45625152 586687.46703312, 536036.26531151 586800.4916007, 536437.50292347 587363.64537311, 536553.80316679 587534.93848866, 536642.33341724 587634.81758348)"
531,Kleine Magoeboesoe Kreek,Saramacca,Kleine Magoeboesoe Kreek,,"LineString (540811.6367385 584830.12056032, 540404.14621942 584532.84249441, 540215.36393507 584413.97407317, 539971.57936452 584484.85575353, 539629.3523584 584588.7833381, 539296.58651173 584730.21965126, 538426.86717251 584822.48984729, 538351.81029086 584822.64877682)"
532,Kras Kreek,Saramacca,Kras Kreek,,"LineString (535151.67650333 581420.21719433, 535661.03515577 581422.65996507, 536058.89639051 581532.77454051, 536427.33349285 581715.3097646, 536723.27112401 581827.72832677, 537079.80832648 581834.01386132, 537180.60725209 581805.65490643)"
533,Grote Maboegoesoe Kreek,Saramacca,Grote Maboegoesoe Kreek,,"LineString (544343.65975376 581601.0207074, 543742.14995535 581095.66041626, 543113.79238708 580756.40580164, 542929.96735286 580993.27179662, 542109.27033953 581415.9241531, 541611.37388582 581865.04968846, 541396.51297445 581983.81351189, 541035.31411438 582169.63253412, 540693.97700703 582220.39407769, 540566.90459243 582227.2573481, 540060.82867324 582762.75914323, 539480.13092677 583233.09051559, 538893.6230747 583519.91422056, 538471.02251374 583718.87746384, 538258.21955282 584089.15379571, 537972.22591579 584219.57222801)"
