similarity,name1,name2,totalCount,stmId,plantationName,locationDescription,district
0.917,"Lust en Rust","Rust en Rust",4,stm-02475,"Rust en Rust","Tawayarie Kreek","Divisie Saramacca"
0.909,"Anna's Lust","Anna's rust",2,stm-02238,"Anna's Lust","Pad van Wanica","Divisie Para"
0.909,"Anna's Lust","Anna's rust",2,stm-00814,"Anna's rust","Tapoeripa Kreek",""
0.909,"Bloemendaal","Bloemendal",2,stm-02275,"Bloemendaal","Jonkermans Kreek",""
0.909,"Bloemendaal","Bloemendal",2,stm-01458,"Bloemendal","Marechals Kreek","Divisie Boven-Suriname en Thorarica"
0.909,"Crappa hoek","Crappahoek",3,stm-00753,"Crappa hoek","Nickerierivier","District Nickerie"
0.909,"Crappa hoek","Crappahoek",3,stm-01631,"Crappa hoek","Nickerierivier","District Nickerie"
0.909,"Crappa hoek","Crappahoek",3,stm-02490,"Crappahoek","Nickerierivier","Divisie Nickerie"
0.909,"Flammenburg","Vlammenburg",2,stm-02168,"Flammenburg","Boven-Commewijne",""
0.909,"Flammenburg","Vlammenburg",2,stm-01020,"Vlammenburg","Boven-Commewijne","Divisie Boven-Commewijne"
0.909,"l'Esperance","L'Espérance",2,stm-01021,"l'Esperance","Boven-Commewijne","Divisie Boven-Commewijne"
0.909,"l'Esperance","L'Espérance",2,stm-02307,"L'Espérance","Nickerierivier","Divisie Nickerie"
0.909,"L'Esperance","L'Espérance",3,stm-01288,"L'Esperance","Para Kreek","Divisie Para"
0.909,"L'Esperance","L'Espérance",3,stm-01439,"L'Esperance","Suriname","Divisie Boven-Suriname en Thorarica"
0.909,"L'Esperance","L'Espérance",3,stm-02307,"L'Espérance","Nickerierivier","Divisie Nickerie"
0.909,"Mon Plaisir","Monplaisir",6,stm-00542,"Mon Plaisir","Suriname","Divisie Para"
0.909,"Mon Plaisir","Monplaisir",6,stm-01162,"Mon Plaisir","Boven-Commewijne",""
0.909,"Mon Plaisir","Monplaisir",6,stm-01705,"Mon Plaisir","Wanica Kreek","Divisie Saramacca"
0.909,"Mon Plaisir","Monplaisir",6,stm-02283,"Mon Plaisir","Orelana Kreek",""
0.909,"Mon Plaisir","Monplaisir",6,stm-00892,"Monplaisir","Suriname","Divisie Para"
0.909,"Mon Plaisir","Monplaisir",6,stm-01406,"Monplaisir","Suriname","Divisie Para"
0.909,"Nieuw Grond","Nieuwgrond",2,stm-02058,"Nieuw Grond","Beneden-Commewijne","Divisie Beneden-Commewijne"
0.909,"Nieuw Grond","Nieuwgrond",2,stm-01377,"Nieuwgrond","Pad van Wanica","Divisie Para"
0.909,"Nieuw Mocha","Nieuw-Mocha",2,stm-00586,"Nieuw Mocha","Boven-Cottica","Divisie Boven-Cottica en Perica"
0.909,"Nieuw Mocha","Nieuw-Mocha",2,stm-02145,"Nieuw-Mocha","Para Kreek",""
0.909,"Petersburg","Pietersburg",3,stm-00643,"Petersburg","Suriname","Divisie Boven-Suriname en Thorarica"
0.909,"Petersburg","Pietersburg",3,stm-01171,"Pietersburg","Boven-Cottica","Divisie Boven-Cottica en Perica"
0.909,"Petersburg","Pietersburg",3,stm-01723,"Pietersburg","Boven-Saramacca",""
0.909,"Staf Aarons","Staf Arons",6,stm-00756,"Staf Aarons","Warappa Kreek","Divisie Beneden-Cottica"
0.909,"Staf Aarons","Staf Arons",6,stm-00840,"Staf Aarons","Boven-Saramacca","Divisie Saramacca"
0.909,"Staf Aarons","Staf Arons",6,stm-00841,"Staf Aarons","Boven-Saramacca","Divisie Saramacca"
0.909,"Staf Aarons","Staf Arons",6,stm-02007,"Staf Aarons","Boven-Saramacca","Divisie Saramacca"
0.909,"Staf Aarons","Staf Arons",6,stm-01446,"Staf Arons","Suriname","Divisie Boven-Suriname en Thorarica"
0.909,"Staf Aarons","Staf Arons",6,stm-02239,"Staf Arons","Pad van Wanica",""
0.909,"Vriesenburg","Vriezenburg",2,stm-01213,"Vriesenburg","Perica Kreek","Divisie Boven-Cottica en Perica"
0.909,"Vriesenburg","Vriezenburg",2,stm-02232,"Vriezenburg","Mot Kreek","Divisie Boven-Cottica en Perica"
0.900,"Berkshoven","Kerkshoven",2,stm-01013,"Berkshoven","Boven-Commewijne","Divisie Boven-Commewijne"
0.900,"Berkshoven","Kerkshoven",2,stm-00599,"Kerkshoven","Warappa Kreek","Divisie Beneden-Cottica"
0.900,"Campenburg","Kampenburg",2,stm-00672,"Campenburg","Beneden-Commewijne","Divisie Beneden-Cottica"
0.900,"Campenburg","Kampenburg",2,stm-02261,"Kampenburg","Beneden-Commewijne",""
0.900,"Constantia","Constantie",2,stm-00689,"Constantia","Matappica Kreek","Divisie Beneden-Cottica"
0.900,"Constantia","Constantie",2,stm-01198,"Constantie","Boven-Cottica","Divisie Boven-Cottica en Perica"
0.900,"La Liberte","La Liberté",2,stm-01495,"La Liberte","Coropina Kreek","Divisie Para"
0.900,"La Liberte","La Liberté",2,stm-00619,"La Liberté","Suriname","Divisie Boven-Suriname en Thorarica"
0.900,"Onverdacht","Onverwacht",8,stm-00713,"Onverdacht","",""
0.900,"Onverdacht","Onverwacht",8,stm-02146,"Onverdacht","Para Kreek","Divisie Para"
0.900,"Onverdacht","Onverwacht",8,stm-02153,"Onverdacht","Pararakweg",""
0.900,"Onverdacht","Onverwacht",8,stm-00715,"Onverwacht","Pararak Kreek",""
0.900,"Onverdacht","Onverwacht",8,stm-00852,"Onverwacht","Pad van Wanica",""
0.900,"Onverdacht","Onverwacht",8,stm-00855,"Onverwacht","Pad van Wanica",""
0.900,"Onverdacht","Onverwacht",8,stm-00859,"Onverwacht","Pad van Wanica",""
0.900,"Onverdacht","Onverwacht",8,stm-02147,"Onverwacht","Para Kreek","Divisie Para"
0.900,"Welbedacht","Welgedacht",8,stm-01175,"Welbedacht","",""
0.900,"Welbedacht","Welgedacht",8,stm-01329,"Welbedacht","Suriname","Divisie Boven-Suriname en Thorarica"
0.900,"Welbedacht","Welgedacht",8,stm-02079,"Welbedacht","Commetewane Kreek","Divisie Boven-Commewijne"
0.900,"Welbedacht","Welgedacht",8,stm-02300,"Welbedacht","Pad van Wanica",""
0.900,"Welbedacht","Welgedacht",8,stm-00880,"Welgedacht","",""
0.900,"Welbedacht","Welgedacht",8,stm-00899,"Welgedacht","",""
0.900,"Welbedacht","Welgedacht",8,stm-01313,"Welgedacht","Para Kreek",""
0.900,"Welbedacht","Welgedacht",8,stm-01378,"Welgedacht","",""
0.889,"Mijn Zorg","Mijnzorg",3,stm-01143,"Mijn Zorg","Vredenburger Kreek","Divisie Boven-Cottica en Perica"
0.889,"Mijn Zorg","Mijnzorg",3,stm-00896,"Mijnzorg","Pad van Wanica","Divisie Para"
0.889,"Mijn Zorg","Mijnzorg",3,stm-01404,"Mijnzorg","Pad van Wanica","Divisie Para"
0.889,"Mon desir","Mon Désir",3,stm-01125,"Mon desir","Boven-Cottica","Divisie Boven-Cottica en Perica"
0.889,"Mon desir","Mon Désir",3,stm-01126,"Mon desir","Boven-Cottica","Divisie Boven-Cottica en Perica"
0.889,"Mon desir","Mon Désir",3,stm-02218,"Mon Désir","Mot Kreek","Divisie Boven-Cottica en Perica"
0.889,"Quamabo (Land van)","Quapibo (Land van)",2,stm-02139,"Quamabo (Land van)","Suriname","Divisie Boven-Suriname en Thorarica"
0.889,"Quamabo (Land van)","Quapibo (Land van)",2,stm-02208,"Quapibo (Land van)","Cassewinicakreek","Divisie Boven-Commewijne"
0.875,"Curacabo","Curacao",5,stm-01023,"Curacabo","Boven-Commewijne",""
0.875,"Curacabo","Curacao",5,stm-01223,"Curacao","Marechals Kreek","Divisie Boven-Suriname en Thorarica"
0.875,"Curacabo","Curacao",5,stm-01224,"Curacao","Marechals Kreek","Divisie Boven-Suriname en Thorarica"
0.875,"Curacabo","Curacao",5,stm-01457,"Curacao","Marechals Kreek","Divisie Boven-Suriname en Thorarica"
0.875,"Curacabo","Curacao",5,stm-01681,"Curacao","Wanica Kreek","Divisie Saramacca"
0.875,"Elisabeth's hoop","Elisabethshoop",3,stm-00948,"Elisabeth's hoop","Beneden-Saramacca",""
0.875,"Elisabeth's hoop","Elisabethshoop",3,stm-01942,"Elisabeth's hoop","Beneden-Saramacca",""
0.875,"Elisabeth's hoop","Elisabethshoop",3,stm-00659,"Elisabethshoop","Beneden-Commewijne","Divisie Beneden-Cottica"
0.875,"Waijamoe","Wajamoe",3,stm-01209,"Waijamoe","Wayamoe Kreek","Divisie Boven-Cottica en Perica"
0.875,"Waijamoe","Wajamoe",3,stm-01262,"Waijamoe","Wayamoe Kreek","Divisie Boven-Cottica en Perica"
0.875,"Waijamoe","Wajamoe",3,stm-02296,"Wajamoe","Wayamoe Kreek",""
0.864,"Dageraad (Land van)","De Dageraad (Land van)",2,stm-02205,"Dageraad (Land van)","Cassewinicakreek","Divisie Boven-Commewijne"
0.864,"Dageraad (Land van)","De Dageraad (Land van)",2,stm-02471,"De Dageraad (Land van)","Commetewane Kreek","Divisie Boven-Commewijne"
0.857,"Berg op Zoom","Bergen op Zoom",4,stm-02278,"Berg op Zoom","Jonkermans Kreek",""
0.857,"Berg op Zoom","Bergen op Zoom",4,stm-01901,"Bergen op Zoom","Suriname","Divisie Boven-Suriname en Thorarica"
0.857,"Berg op Zoom","Bergen op Zoom",4,stm-02162,"Bergen op Zoom","Marechals Kreek","Divisie Boven-Suriname en Thorarica"
0.857,"Berg op Zoom","Bergen op Zoom",4,stm-02447,"Bergen op Zoom","Boven-Commewijne",""
0.857,"De Nieuwe Hoop","De Nieuwhoop",4,stm-00951,"De Nieuwe Hoop","Saramacca","Divisie Saramacca"
0.857,"De Nieuwe Hoop","De Nieuwhoop",4,stm-01507,"De Nieuwe Hoop","Para Kreek","Divisie Para"
0.857,"De Nieuwe Hoop","De Nieuwhoop",4,stm-01720,"De Nieuwe Hoop","Saramacca","Divisie Saramacca"
0.857,"De Nieuwe Hoop","De Nieuwhoop",4,stm-01179,"De Nieuwhoop","Boven-Commewijne","Divisie Boven-Commewijne"
0.857,"Elisabethshof","Elisabethshoop",2,stm-00541,"Elisabethshof","Suriname","Divisie Para"
