similarity,name1,name2,totalCount,stmId,plantationName,locationDescription,district
0.800,"Dankbaarheid","De Dankbaarheid",4,stm-01250,"De Dankbaarheid","Mot Kreek",""
0.800,"Dankbaarheid","De Dankbaarheid",4,stm-01712,"De Dankbaarheid","Beneden-Saramacca","Divisie Saramacca"
0.800,"Drie Gebroeders","Twee Gebroeders",2,stm-02206,"Drie Gebroeders","Cassewinicakreek",""
0.800,"Drie Gebroeders","Twee Gebroeders",2,stm-02248,"Twee Gebroeders","Saramacca",""
0.800,"Eikenhoop","Leijenhoop",2,stm-02123,"Eikenhoop","Suriname","Divisie Boven-Suriname en Thorarica"
0.800,"Eikenhoop","Leijenhoop",2,stm-00792,"Leijenhoop","Paramarica Kreek","Divisie Matapplea"
0.800,"Fortuin (Land van)","Houtthuin (Land van)",2,stm-02357,"Fortuin (Land van)","Commetewane Kreek","Divisie Boven-Commewijne"
0.800,"Fortuin (Land van)","Houtthuin (Land van)",2,stm-02320,"Houtthuin (Land van)","Suriname","Divisie Para"
0.800,"La Perseverance","Perseverance",2,stm-00818,"La Perseverance","Paramarica Kreek","Divisie Matapplea"
0.800,"La Perseverance","Perseverance",2,stm-01551,"Perseverance","Atlantische kust","Divisie Nickerie"
0.800,"Laarwijk (Land van)","Slootwijk (Land van)",2,stm-02324,"Laarwijk (Land van)","Paulus Kreek","Divisie Boven-Suriname en Thorarica"
0.800,"Laarwijk (Land van)","Slootwijk (Land van)",2,stm-02352,"Slootwijk (Land van)","Boven-Commewijne","Divisie Boven-Commewijne"
0.800,"Lugtenburg","Lunenburg",3,stm-01103,"Lugtenburg","Wayamoe Kreek",""
0.800,"Lugtenburg","Lunenburg",3,stm-01140,"Lunenburg","Boven-Cottica","Divisie Boven-Cottica en Perica"
0.800,"Lugtenburg","Lunenburg",3,stm-01255,"Lunenburg","Boven-Cottica","Divisie Boven-Cottica en Perica"
0.800,"Lugtenburg","Rustenburg",4,stm-01103,"Lugtenburg","Wayamoe Kreek",""
0.800,"Lugtenburg","Rustenburg",4,stm-01200,"Rustenburg","Perica Kreek","Divisie Boven-Cottica en Perica"
0.800,"Lugtenburg","Rustenburg",4,stm-01219,"Rustenburg","Boven-Commewijne",""
0.800,"Lugtenburg","Rustenburg",4,stm-01241,"Rustenburg","Perica Kreek","Divisie Boven-Cottica en Perica"
0.800,"Meerzorg","Moederzorg",4,stm-00564,"Meerzorg","Suriname","Divisie Boven-Suriname en Thorarica"
0.800,"Meerzorg","Moederzorg",4,stm-00630,"Meerzorg","Tapoeripa Kreek","Divisie Matapplea"
0.800,"Meerzorg","Moederzorg",4,stm-00520,"Moederzorg","Suriname","Divisie Boven-Suriname en Thorarica"
0.800,"Meerzorg","Moederzorg",4,stm-02247,"Moederzorg","Wanica Kreek","Divisie Para"
0.800,"Moederzorg","Ouderzorg",3,stm-00520,"Moederzorg","Suriname","Divisie Boven-Suriname en Thorarica"
0.800,"Moederzorg","Ouderzorg",3,stm-02247,"Moederzorg","Wanica Kreek","Divisie Para"
0.800,"Moederzorg","Ouderzorg",3,stm-00872,"Ouderzorg","Beneden-Commewijne",""
0.800,"Moederzorg","Wederzorg",3,stm-00520,"Moederzorg","Suriname","Divisie Boven-Suriname en Thorarica"
0.800,"Moederzorg","Wederzorg",3,stm-02247,"Moederzorg","Wanica Kreek","Divisie Para"
0.800,"Moederzorg","Wederzorg",3,stm-00573,"Wederzorg","Beneden-Commewijne","Divisie Beneden-Commewijne"
0.800,"Moederzorg","Zonderzorg",3,stm-00520,"Moederzorg","Suriname","Divisie Boven-Suriname en Thorarica"
0.800,"Moederzorg","Zonderzorg",3,stm-02247,"Moederzorg","Wanica Kreek","Divisie Para"
0.800,"Moederzorg","Zonderzorg",3,stm-01512,"Zonderzorg","Tawaycoera Kreek","Divisie Para"
0.800,"Nova","Novar",2,stm-02466,"Nova","Tapoeripa Kreek",""
0.800,"Nova","Novar",2,stm-01652,"Novar","Atlantische kust","Divisie Nickerie"
0.800,"Ouderzorg","Zonderzorg",2,stm-00872,"Ouderzorg","Beneden-Commewijne",""
0.800,"Ouderzorg","Zonderzorg",2,stm-01512,"Zonderzorg","Tawaycoera Kreek","Divisie Para"
0.800,"Reijnsdorp","Reijnsfort",2,stm-00664,"Reijnsdorp","Matappica Kreek","Divisie Beneden-Cottica"
0.800,"Reijnsdorp","Reijnsfort",2,stm-00669,"Reijnsfort","Warappa Kreek","Divisie Beneden-Cottica"
0.800,"Reijnsfort","Reynsfort",2,stm-00669,"Reijnsfort","Warappa Kreek","Divisie Beneden-Cottica"
0.800,"Reijnsfort","Reynsfort",2,stm-02196,"Reynsfort","Warappa Kreek",""
0.800,"Soribo (Land van)","Waycoribo (Land van)",2,stm-02227,"Soribo (Land van)","Perica Kreek","Divisie Boven-Cottica en Perica"
0.800,"Soribo (Land van)","Waycoribo (Land van)",2,stm-02355,"Waycoribo (Land van)","Cassewinicakreek","Divisie Boven-Commewijne"
