"clusterIndex","variants","clusterLocationsSummary","clusterKnownSpellingsSummary","Atlantische kust","Beneden-Commewijne","Beneden-Saramacca","Booms Kreek","Boven-Commewijne","Boven-Cottica","Boven-Saramacca","Cassewinicakreek","Commetewane Kreek","Coropina Kreek","Cottica","Jonkermans Kreek","Marechals Kreek","Matappica Kreek","Mot Kreek","Nickerierivier","Orelana Kreek","Pad van Wanica","Para Kreek","Paramarica Kreek","Pararak Kreek","Pararakweg","Paulus Kreek","Perica Kreek","Rijweg naar Kwatta","Saramacca","Suriname","Surnaus Kreek","Tapoeripa Kreek","Tawayarie Kreek","Tawaycoera Kreek","Vredenburger Kreek","Wanica Kreek","Warappa Kreek","Wayamoe Kreek","variantCount","recordCount"
"36","De Zwarigheid","Boven-Cottica | Vredenburger Kreek","De Zwarigheid","","","","","","stm-01154 (De Zwarigheid)","","","","","","","","","","","","","","","","","","","","","","","","","","stm-02233 (De Zwarigheid)","","","","1","2"
"37","Eendracht","Beneden-Saramacca | Commetewane Kreek","Eendracht","","","stm-00941 (Eendracht); stm-01357 (Eendracht)","","","","","","stm-02203 (Eendracht)","","","","","","","","","","","","","","","","","","","","","","","","","","","1","3"
"38","Eendragt (Land van)","Commetewane Kreek | Perica Kreek","Eendragt (Land van)","","","","","","","","","stm-02358 (Eendragt (Land van))","","","","","","","","","","","","","","","stm-02228 (Eendragt (Land van))","","","","","","","","","","","","1","2"
"39","Eikenhoop | Leidenshoop | Leijenhoop | Liefdenshoek | Liefdenshoop","Matappica Kreek | Orelana Kreek | Paramarica Kreek | Suriname","Eikenhoop | Leidenshoop | Leijenhoop | Liefdenshoek | Liefdenshoop","","","","","","","","","","","","","","stm-00605 (Leidenshoop)","","","stm-02070 (Liefdenshoop)","","","stm-00792 (Leijenhoop)","","","","","","","stm-02123 (Eikenhoop); stm-01421 (Liefdenshoek)","","","","","","","","","5","5"
"40","Elisabeth's hoop | Elisabethshof | Elisabethshoop","Beneden-Commewijne | Beneden-Saramacca | Suriname","Elisabeth's hoop | Elisabethshof | Elisabethshoop","","stm-00659 (Elisabethshoop)","stm-00948 (Elisabeth's hoop); stm-01942 (Elisabeth's hoop)","","","","","","","","","","","","","","","","","","","","","","","","stm-00541 (Elisabethshof)","","","","","","","","","3","4"
"41","Esther's Lust | Esther's rust","Suriname | Warappa Kreek","Esther's Lust | Esther's rust","","","","","","","","","","","","","","","","","","","","","","","","","","","stm-01888 (Esther's Lust)","","","","","","","stm-00708 (Esther's rust); stm-00868 (Esther's rust); stm-00869 (Esther's rust)","","2","4"
"42","Flammenburg | Vlammenburg","Boven-Commewijne","Flammenburg | Vlammenburg","","","","","stm-02168 (Flammenburg); stm-01020 (Vlammenburg)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2"
"43","Flammenburg (Land van) | Vlammenburg (Land van)","Boven-Commewijne | Cassewinicakreek","Flammenburg (Land van) | Vlammenburg (Land van)","","","","","stm-02176 (Flammenburg (Land van))","","","stm-02209 (Vlammenburg (Land van))","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2"
"44","Fortuin (Land van) | Houtthuin (Land van)","Commetewane Kreek | Suriname","Fortuin (Land van) | Houtthuin (Land van)","","","","","","","","","stm-02357 (Fortuin (Land van))","","","","","","","","","","","","","","","","","","stm-02320 (Houtthuin (Land van))","","","","","","","","","2","2"
"45","Frederiksburg","Beneden-Commewijne | Pararakweg","Frederiksburg","","stm-00679 (Frederiksburg)","","","","","","","","","","","","","","","","","","","","stm-01299 (Frederiksburg)","","","","","","","","","","","","","","1","2"
"46","Frederiksdorp | Frederikshoop","Beneden-Commewijne | Pad van Wanica","Frederiksdorp | Frederikshoop","","stm-00653 (Frederiksdorp)","","","","","","","","","","","","","","","","stm-01385 (Frederikshoop)","","","","","","","","","","","","","","","","","","2","2"
"47","Frederikslust","Pararakweg | Warappa Kreek","Frederikslust","","","","","","","","","","","","","","","","","","","","","","stm-02156 (Frederikslust)","","","","","","","","","","","","stm-00681 (Frederikslust)","","1","2"
"48","Garcia's kamp | Garciaskamp","Marechals Kreek | Suriname","Garcia's kamp | Garciaskamp","","","","","","","","","","","","","stm-01468 (Garcia's kamp)","","","","","","","","","","","","","","stm-02437 (Garciaskamp)","","","","","","","","","2","2"
"49","Geertruidenberg","Beneden-Commewijne | Boven-Cottica","Geertruidenberg","","stm-00576 (Geertruidenberg)","","","","stm-00725 (Geertruidenberg)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2"
"50","Goosen","Matappica Kreek | Suriname","Goosen","","","","","","","","","","","","","","stm-00593 (Goosen)","","","","","","","","","","","","","stm-01871 (Goosen)","","","","","","","","","1","2"
"51","Groningen","Beneden-Saramacca | Boven-Saramacca | Tapoeripa Kreek","Groningen","","","stm-02245 (Groningen)","","","","stm-02384 (Groningen)","","","","","","","","","","","","","","","","","","","","","","stm-00830 (Groningen)","","","","","","","1","3"
"52","Haast u langzaam | Haast U Langzaam","Boven-Saramacca | Tapoeripa Kreek","Anna's rust en Haast u langzaam | Haast u langzaam | Haast U Langzaam","","","","","","","stm-02383 (Haast U Langzaam)","","","","","","","","","","","","","","","","","","","","","","stm-00813 (Haast u langzaam)","","","","","","","2","2"
"53","Hamburg","Beneden-Saramacca | Boven-Cottica","Hamburg","","","stm-00950 (Hamburg); stm-01945 (Hamburg)","","","stm-01201 (Hamburg)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","3"
"54","Hazard","Nickerierivier | Pararakweg","Hazard","","","","","","","","","","","","","","","","stm-01646 (Hazard)","","","","","","stm-02155 (Hazard)","","","","","","","","","","","","","","1","2"
"55","Hermitage | L'Hermitage","Boven-Saramacca | Pad van Wanica","Hermitage | L'Hermitage","","","","","","","stm-01907 (L'Hermitage)","","","","","","","","","","","stm-01360 (Hermitage)","","","","","","","","","","","","","","","","","","2","2"
"56","Heystvliet (Land van) | Heysvliet (Land van)","Suriname","Heystvliet (Land van) | Heysvliet (Land van)","","","","","","","","","","","","","","","","","","","","","","","","","","","stm-02313 (Heystvliet (Land van)); stm-02122 (Heysvliet (Land van))","","","","","","","","","2","2"
"57","Hope","Atlantische kust","Hope","stm-00751 (Hope); stm-01605 (Hope); stm-01655 (Hope)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","3"
"58","Jacob's lust | Jacobslust","Boven-Saramacca | Matappica Kreek","Jacob's lust | Jacobslust","","","","","","","stm-00865 (Jacob's lust); stm-01702 (Jacob's lust)","","","","","","","stm-01267 (Jacobslust)","","","","","","","","","","","","","","","","","","","","","","2","3"
"59","Joden Savanne | Jodensavanne","Suriname","Joden Savanne | Jodensavanne","","","","","","","","","","","","","","","","","","","","","","","","","","","stm-02137 (Joden Savanne); stm-02274 (Jodensavanne)","","","","","","","","","2","2"
"60","Johanneshoop | Johanneszoon | Johannishoop","Beneden-Saramacca | Matappica Kreek | Suriname","Johanneshoop | Johanneszoon | Johannishoop","","","stm-01960 (Johannishoop)","","","","","","","","","","","stm-00603 (Johanneszoon)","","","","","","","","","","","","","stm-02115 (Johanneshoop)","","","","","","","","","3","3"
"61","Karelsburg","Boven-Saramacca | Wayamoe Kreek","Karelsburg","","","","","","","stm-01934 (Karelsburg)","","","","","","","","","","","","","","","","","","","","","","","","","","","","stm-02184 (Karelsburg)","1","3"
"62","Klein Beekvliet","Boven-Commewijne | Boven-Cottica","Klein Beekvliet","","","","","stm-02259 (Klein Beekvliet)","stm-02216 (Klein Beekvliet)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2"
"63","Klein Cuilenburg | Klein Lunenburg","Boven-Cottica | Warappa Kreek","Klein Cuilenburg | Klein Cullenburg | Klein Lunenburg","","","","","","stm-01091 (Klein Cuilenburg)","","","","","","","","","","","","","","","","","","","","","","","","","","","","stm-00680 (Klein Lunenburg)","","2","2"
"64","Kweeklust","Beneden-Saramacca | Coropina Kreek","Kweeklust","","","stm-01952 (Kweeklust)","","","","","","","stm-01481 (Kweeklust)","","","","","","","","","","","","","","","","","","","","","","","","","","1","2"
"65","l'Esperance | L'Esperance | L'Espérance","Boven-Commewijne | Nickerierivier | Para Kreek | Suriname","l'Esperance | L'Esperance | L'Espérance","","","","","stm-01021 (l'Esperance)","","","","","","","","","","","stm-02307 (L'Espérance)","","","stm-01288 (L'Esperance)","","","","","","","","stm-01439 (L'Esperance)","","","","","","","","","3","4"
"66","La Diligence","Coropina Kreek | Suriname","La Diligence","","","","","","","","","","stm-01483 (La Diligence)","","","","","","","","","","","","","","","","","stm-01430 (La Diligence)","","","","","","","","","1","2"
"67","La Liberte | La Liberté","Coropina Kreek | Suriname","La Liberte | La Liberté","","","","","","","","","","stm-01495 (La Liberte)","","","","","","","","","","","","","","","","","stm-00619 (La Liberté)","","","","","","","","","2","2"
"68","La Paix","Boven-Cottica | Paulus Kreek","La Paix","","","","","","stm-01129 (La Paix)","","","","","","","","","","","","","","","","","stm-00647 (La Paix)","","","","","","","","","","","","","1","2"
"69","La Paix (Land van)","Boven-Cottica | Vredenburger Kreek","La Paix (Land van)","","","","","","stm-02366 (La Paix (Land van))","","","","","","","","","","","","","","","","","","","","","","","","","","stm-02375 (La Paix (Land van))","","","","1","2"
"70","La Perseverance | Perseverance","Atlantische kust | Paramarica Kreek","La Perseverance | Perseverance","stm-01551 (Perseverance)","","","","","","","","","","","","","","","","","","","stm-00818 (La Perseverance)","","","","","","","","","","","","","","","","2","2"
"71","La Resource | La Ressource","Boven-Saramacca | Suriname","La Resource | La Ressource","","","","","","","stm-00863 (La Resource); stm-02008 (La Resource)","","","","","","","","","","","","","","","","","","","","stm-01398 (La Ressource)","","","","","","","","","2","3"
"72","La Solitude","Boven-Saramacca | Commetewane Kreek | Perica Kreek","La Solitude","","","","","","","stm-00856 (La Solitude); stm-02024 (La Solitude)","","stm-02080 (La Solitude)","","","","","","","","","","","","","","","stm-00719 (La Solitude)","","","","","","","","","","","","1","4"
"73","La Sonnette","Boven-Saramacca | Saramacca","La Sonnette","","","","","","","stm-00860 (La Sonnette); stm-00867 (La Sonnette); stm-01999 (La Sonnette)","","","","","","","","","","","","","","","","","","","stm-02515 (La Sonnette)","","","","","","","","","","1","4"
"74","Laarwijk (Land van) | Slootwijk (Land van)","Boven-Commewijne | Paulus Kreek","Laarwijk (Land van) | Slootwijk (Land van)","","","","","stm-02352 (Slootwijk (Land van))","","","","","","","","","","","","","","","","","","stm-02324 (Laarwijk (Land van))","","","","","","","","","","","","","2","2"
"75","Libanon","Boven-Cottica | Boven-Saramacca | Jonkermans Kreek | Marechals Kreek | Pararakweg | Saramacca | Suriname","Libanon","","","","","","stm-01113 (Libanon)","stm-00844 (Libanon); stm-00845 (Libanon); stm-01718 (Libanon)","","","","","stm-02276 (Libanon)","stm-01466 (Libanon); stm-01887 (Libanon)","","","","","","","","","stm-01302 (Libanon)","","","","stm-02256 (Libanon)","stm-02134 (Libanon)","","","","","","","","","1","10"
