"clusterIndex","variants","clusterLocationsSummary","clusterKnownSpellingsSummary","Atlantische kust","Beneden-Commewijne","Beneden-Saramacca","Booms Kreek","Boven-Commewijne","Boven-Cottica","Boven-Saramacca","Cassewinicakreek","Commetewane Kreek","Coropina Kreek","Cottica","Jonkermans Kreek","Marechals Kreek","Matappica Kreek","Mot Kreek","Nickerierivier","Orelana Kreek","Pad van Wanica","Para Kreek","Paramarica Kreek","Pararak Kreek","Pararakweg","Paulus Kreek","Perica Kreek","Rijweg naar Kwatta","Saramacca","Suriname","Surnaus Kreek","Tapoeripa Kreek","Tawayarie Kreek","Tawaycoera Kreek","Vredenburger Kreek","Wanica Kreek","Warappa Kreek","Wayamoe Kreek","variantCount","recordCount"
"94","Nijd en Spijt","Beneden-Commewijne | Jonkermans Kreek | Marechals Kreek","Nijd en Spijt","","stm-00553 (Nijd en Spijt)","","","","","","","","","","stm-02277 (Nijd en Spijt)","stm-01467 (Nijd en Spijt)","","","","","","","","","","","","","","","","","","","","","","","1","3"
"95","Nooit gedacht | Nooit Gedacht | Nooit-gedacht","Boven-Commewijne | Saramacca | Suriname | Wanica Kreek","Nooit gedacht | Nooit Gedacht | Nooit-gedacht","","","","","stm-02163 (Nooit-gedacht)","","","","","","","","","","","","","","","","","","","","","stm-01932 (Nooit gedacht)","stm-02493 (Nooit Gedacht)","","","","","","stm-02395 (Nooit Gedacht)","","","3","4"
"96","Nova | Novar","Atlantische kust | Tapoeripa Kreek","Nova | Novar","stm-01652 (Novar)","","","","","","","","","","","","","","","","","","","","","","","","","","","","stm-02466 (Nova)","","","","","","","2","2"
"97","Onoribo","Para Kreek | Pararak Kreek | Pararakweg","Onoribo","","","","","","","","","","","","","","","","","","","stm-01319 (Onoribo)","","stm-02151 (Onoribo)","stm-02152 (Onoribo)","","","","","","","","","","","","","","1","3"
"98","Onverdacht | Onverwacht","Pad van Wanica | Para Kreek | Pararak Kreek | Pararakweg","Onverdacht | Onverwacht","","","","","","","","","","","","","","","","","","stm-00852 (Onverwacht); stm-00855 (Onverwacht); stm-00859 (Onverwacht)","stm-02146 (Onverdacht); stm-02147 (Onverwacht)","","stm-00715 (Onverwacht)","stm-02153 (Onverdacht)","","","","","","","","","","","","","","2","8"
"99","Osembo","Para Kreek | Pararakweg","Osembo","","","","","","","","","","","","","","","","","","","stm-00738 (Osembo)","","","stm-02154 (Osembo)","","","","","","","","","","","","","","1","2"
"100","Patientie","Boven-Cottica | Orelana Kreek","Patientie","","","","","","stm-01099 (Patientie)","","","","","","","","","","","stm-02069 (Patientie)","","","","","","","","","","","","","","","","","","","1","2"
"101","Petersburg | Pietersburg | Pieterszorg","Beneden-Commewijne | Boven-Cottica | Boven-Saramacca | Suriname","Petersburg | Pietersburg | Pieterszorg","","stm-00662 (Pieterszorg)","","","","stm-01171 (Pietersburg)","stm-01723 (Pietersburg)","","","","","","","","","","","","","","","","","","","","stm-00643 (Petersburg)","","","","","","","","","3","4"
"102","Quamabo (Land van) | Quapibo (Land van)","Cassewinicakreek | Suriname","Quamabo (Land van) | Quapibo (Land van)","","","","","","","","stm-02208 (Quapibo (Land van))","","","","","","","","","","","","","","","","","","","stm-02139 (Quamabo (Land van))","","","","","","","","","2","2"
"103","Reijnsdorp | Reijnsfort | Reynsfort","Matappica Kreek | Warappa Kreek","Reijnsdorp | Reijnsfort | Reynsfort","","","","","","","","","","","","","","stm-00664 (Reijnsdorp)","","","","","","","","","","","","","","","","","","","","stm-00669 (Reijnsfort); stm-02196 (Reynsfort)","","3","3"
"104","Smithfield","Beneden-Saramacca","Smithfield","","","stm-00958 (Smithfield); stm-00959 (Smithfield); stm-01041 (Smithfield); stm-02390 (Smithfield)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","4"
"105","Soribo (Land van) | Waycoribo (Land van)","Cassewinicakreek | Perica Kreek","Soribo (Land van) | Waycoribo (Land van)","","","","","","","","stm-02355 (Waycoribo (Land van))","","","","","","","","","","","","","","","","stm-02227 (Soribo (Land van))","","","","","","","","","","","","2","2"
"106","Staf Aarons | Staf Arons","Boven-Saramacca | Pad van Wanica | Suriname | Warappa Kreek","Staf Aarons | Staf Arons","","","","","","","stm-00840 (Staf Aarons); stm-00841 (Staf Aarons); stm-02007 (Staf Aarons)","","","","","","","","","","","stm-02239 (Staf Arons)","","","","","","","","","stm-01446 (Staf Arons)","","","","","","","stm-00756 (Staf Aarons)","","2","6"
"107","Standvastigheid","Nickerierivier | Tapoeripa Kreek","Standvastigheid","","","","","","","","","","","","","","","","stm-02399 (Standvastigheid)","","","","","","","","","","","","","stm-00812 (Standvastigheid)","","","","","","","1","2"
"108","Toevlugt","Boven-Saramacca | Mot Kreek | Rijweg naar Kwatta | Suriname","Toevlugt","","","","","","","stm-02386 (Toevlugt)","","","","","","","","stm-00784 (Toevlugt)","","","","","","","","","","stm-02110 (Toevlugt)","","stm-01408 (Toevlugt)","","","","","","","","","1","4"
"109","Toledo en Nieuw-rust | Toledo en Nieuwrust","Suriname","Toledo en Nieuw-rust | Toledo en Nieuwrust","","","","","","","","","","","","","","","","","","","","","","","","","","","stm-02130 (Toledo en Nieuw-rust); stm-02439 (Toledo en Nieuwrust)","","","","","","","","","2","2"
"110","Tulpenburg","Orelana Kreek | Suriname","Tulpenburg","","","","","","","","","","","","","","","","","stm-02071 (Tulpenburg)","","","","","","","","","","stm-01331 (Tulpenburg)","","","","","","","","","1","2"
"111","Vaderszorg","Matappica Kreek | Saramacca","Vaderszorg | Vaderszorg en Karelsdeel","","","","","","","","","","","","","","stm-00697 (Vaderszorg)","","","","","","","","","","","","stm-01950 (Vaderszorg)","","","","","","","","","","1","3"
"112","Vlijt en Trouw | Vlugt en Trouw","Boven-Cottica | Tapoeripa Kreek","Vlijt en Trouw | Vlugt en Trouw","","","","","","stm-01102 (Vlugt en Trouw)","","","","","","","","","","","","","","","","","","","","","","","stm-00833 (Vlijt en Trouw)","","","","","","","2","2"
"113","Voorzorg","Beneden-Saramacca | Mot Kreek | Vredenburger Kreek","Voorzorg","","","stm-02254 (Voorzorg)","","","","","","","","","","","","stm-00779 (Voorzorg)","","","","","","","","","","","","","","","","","stm-01148 (Voorzorg)","","","","1","3"
"114","Vredenburg | Vriesenburg | Vriezenburg","Mot Kreek | Para Kreek | Perica Kreek","Vredenburg | Vriesenburg | Vriezenburg","","","","","","","","","","","","","","","stm-02232 (Vriezenburg)","","","","stm-01397 (Vredenburg)","","","","","stm-01213 (Vriesenburg)","","","","","","","","","","","","3","3"
"115","Vreeland","Suriname | Tawaycoera Kreek","Vreeland","","","","","","","","","","","","","","","","","","","","","","","","","","","stm-00637 (Vreeland)","","","","stm-01487 (Vreeland)","","","","","1","2"
"116","Waijamoe | Wajamoe | Wayamoe","Wayamoe Kreek","Waijamoe | Wajamoe | Wayamoe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","stm-01209 (Waijamoe); stm-01262 (Waijamoe); stm-02296 (Wajamoe); stm-01455 (Wayamoe)","3","4"
"117","Waterloo","Nickerierivier | Tawayarie Kreek | Warappa Kreek","Waterloo","","","","","","","","","","","","","","","","stm-00744 (Waterloo); stm-00745 (Waterloo); stm-01643 (Waterloo)","","","","","","","","","","","","","","stm-00706 (Waterloo)","","","","stm-02195 (Waterloo)","","1","5"
"118","Watervliet","Suriname","Watervliet","","","","","","","","","","","","","","","","","","","","","","","","","","","stm-01413 (Watervliet); stm-02441 (Watervliet)","","","","","","","","","1","2"
"119","Welbedacht | Welgedacht","Commetewane Kreek | Pad van Wanica | Para Kreek | Suriname","Welbedacht | Welgedacht","","","","","","","","","stm-02079 (Welbedacht)","","","","","","","","","stm-02300 (Welbedacht)","stm-01313 (Welgedacht)","","","","","","","","stm-01329 (Welbedacht)","","","","","","","","","2","8"
"120","Welgelegen","Atlantische kust | Beneden-Commewijne | Boven-Cottica | Para Kreek","Welgelegen | Zeldenrust en Welgelegen","stm-00922 (Welgelegen); stm-01546 (Welgelegen)","stm-00578 (Welgelegen)","","","","stm-01097 (Welgelegen)","","","","","","","","","","","","","stm-01505 (Welgelegen)","","","","","","","","","","","","","","","","","1","5"
"121","Welgevallen","Beneden-Commewijne | Suriname","Welgevallen","","stm-00693 (Welgevallen)","","","","","","","","","","","","","","","","","","","","","","","","","stm-02142 (Welgevallen)","","","","","","","","","1","2"
"122","Welgevonden","Suriname | Tawayarie Kreek","Welgevonden","","","","","","","","","","","","","","","","","","","","","","","","","","","stm-02141 (Welgevonden)","","","stm-02397 (Welgevonden)","","","","","","1","2"
"123","Weltevreden","Beneden-Commewijne | Beneden-Saramacca | Suriname","Weltevreden","","stm-02056 (Weltevreden)","stm-01938 (Weltevreden)","","","","","","","","","","","","","","","","","","","","","","","","stm-02125 (Weltevreden)","","","","","","","","","1","3"
"124","Zeldenrust","Boven-Cottica | Suriname","Zeldenrust","","","","","","stm-01096 (Zeldenrust)","","","","","","","","","","","","","","","","","","","","","stm-01334 (Zeldenrust)","","","","","","","","","1","2"
"125","Zoelen","Beneden-Commewijne | Boven-Saramacca","Zoelen","","stm-00559 (Zoelen)","","","","","stm-02385 (Zoelen)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2"
"126","Zorg en Hoop","Beneden-Commewijne | Boven-Saramacca | Matappica Kreek | Pad van Wanica","Zorg en Hoop","","stm-02172 (Zorg en Hoop)","","","","","stm-02388 (Zorg en Hoop)","","","","","","","stm-00667 (Zorg en Hoop)","","","","stm-01361 (Zorg en Hoop)","","","","","","","","","","","","","","","","","","1","4"
"127","Zorgvliet","Beneden-Commewijne | Boven-Commewijne","Zorgvliet","","stm-00555 (Zorgvliet)","","","stm-02164 (Zorgvliet)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2"
