qid;map_id;label_on_map;has_polygon
Q59115137;MAP_1860-79;Alderad;false
Q97306735;MAP_1930;Nieuw Mocha;true
Q97306735;MAP_1860-79;Nieuw Mocha;false
Q59116828;MAP_1930;Kleinhoop;true
Q59116828;MAP_1860-79;Kleinhoop;false
Q59115325;MAP_1930;Bruinendaal;true
Q59115325;MAP_1860-79;Bruinendaal;false
Q59115464;MAP_1930;De Jonge Beijenkorf;true
Q59115464;MAP_1860-79;De Jonge Beijenkorf;false
Q59133997;MAP_1930;Vlaardingen;true
Q59133997;MAP_1860-79;Vlaardingen;false
Q59115376;MAP_1930;Catarinenburg;true
Q59115376;MAP_1860-79;Catarinenburg;false
Q59116918;MAP_1930;Landlust;true
Q59116918;MAP_1860-79;Landlust;false
Q59115638;MAP_1930;Goosen;true
Q59115638;MAP_1860-79;Goosen;false
Q59115278;MAP_1930;Bodenburg;true
Q59115278;MAP_1860-79;Bodenburg;false
Q137472412;MAP_1930;Alliance;true
Q137472412;MAP_1860-79;Alliance;false
Q59116974;MAP_1930;Livonia;true
Q59116974;MAP_1860-79;Livonia;false
Q59115128;MAP_1930;Adrichem;true
Q59115128;MAP_1860-79;Adrichem;false
Q59116838;MAP_1930;Kulenkamp spruit;true
Q59116838;MAP_1860-79;Kulenkamp spruit;false
Q59116799;MAP_1930;Kerkshoven;true
Q59116799;MAP_1860-79;Kerkshoven;false
Q59115580;MAP_1930;Felix;true
Q59115580;MAP_1860-79;Felix;false
Q59115526;MAP_1930;Duringen;true
Q59115526;MAP_1860-79;Duringen;false
Q59116822;MAP_1930;Westphalenshoop;true
Q59116822;MAP_1860-79;Westphalenshoop;false
Q59115746;MAP_1930;Johanneszoon;true
Q59115746;MAP_1860-79;Johanneszoon;false
Q59115736;MAP_1930;Johanna Charlotte;true
Q59115736;MAP_1860-79;Johanna Charlotte;false
Q59117014;MAP_1930;Leidenshoop;true
Q59117014;MAP_1860-79;Leidenshoop;false
Q59133857;MAP_1930;Spieringszorg;true
Q59133857;MAP_1860-79;Spieringszorg;false
Q59115343;MAP_1930;Bijgeluk;true
Q59115343;MAP_1860-79;Bijgeluk;false
Q59115612;MAP_1930;George Hendrik;true
Q59115612;MAP_1860-79;George Hendrik;false
Q59116826;MAP_1930;Kleins Verwachting;true
Q59116826;MAP_1860-79;Kleins Verwachting;false
Q135395207;MAP_1930;Aan Korte vreugd;true
Q135395207;MAP_1860-79;Aan Korte vreugd;false
Q59116815;MAP_1930;Klein Gelderland;true
Q59116815;MAP_1860-79;Klein Gelderland;false
Q59116846;MAP_1930;l'Assistance;true
