ID	Label	Title	Citation (MLA)	Licence	Makers	Year of publication	Publisher	Published (Location and other publication information)	Language	Remarks	Scans	Holding archive	Handle	IIIF manifest	IIIF Info URL	Allmaps Geo 1	Allmaps Geo 2
11	Kaart van Suriname	635 Blad III. Suriname. (gekleurd) - 635-635B Kaart van de kolonie Suriname, een gedeelte van Guyana, Nederlandsche bezitting op het vasteland van Zuid-America. Met inzet van Paramaribo			Jhr. C.A. van Sijpesteijn	1849	Gebroeders van Cleef			635-635B Kaart van de kolonie Suriname, een gedeelte van Guyana, Nederlandsche bezitting op het vasteland van Zuid-America. Met inzet van Paramaribo 1850 3 bladen Oorspronkelijke kaart uitgegeven in 1784 door ingenieur J.C. Heneman. Herzien en verbeterd naar huidige situatie van de kolonie met daarop alle plantagenamen door Jhr. C.A. van Sijpesteijn in 1849. Gedrukt door de Gebroeders van Cleef, Den Haag, Amsterdam. Litho.  De gehele kaart bestaat uit 4 opgeplakte deelbladen. Van deelblad III (blad Suriname) is een manuscript aanwezig.  Schaal 1:194.000.	1	Nationaal Archief	https://www.nationaalarchief.nl/onderzoeken/archief/4.MIKO/invnr/635/file/NL-HaNA_4.MIKO_635	-	https://service.archief.nl/iip/57/b8/55/09/1e/80/45/3a/a7/3b/2a/8e/eb/86/23/7f/99702373-357f-4d06-9a9c-5accda01c552.jp2/info.json
12	Kaart van Suriname	6050 Kaart van Suriname			H. N. Dahlberg	ca. 1950	Topografische Dienst			Getekend door H.N. Dahlberg. Uitgave van de Topografische Dienst.  Schaal 1:1.000.000.	1	Nationaal Archief	https://www.nationaalarchief.nl/onderzoeken/archief/4.MIKO/invnr/6050/file/NL-HaNA_4.MIKO_6050	-	https://service.archief.nl/iip/57/8e/21/21/80/08/4a/8a/ae/20/30/b8/df/72/c4/bb/67e6a4a3-739c-43e6-9361-e756fb2f8fb1.jp2/info.json
13	Plattegrond van Paramaribo	6009 Plattegrond van Paramaribo				ca. 1955	N. V. Varekamp & Co.			Uitgave van N. V. Varekamp & Co., Paramaribo.  Schaal 1:10.000.	1	Nationaal Archief	https://www.nationaalarchief.nl/onderzoeken/archief/4.MIKO/invnr/6009/file/NL-HaNA_4.MIKO_6009	-	https://service.archief.nl/iip/bf/d8/10/95/41/d2/4b/56/8c/ca/0b/d2/04/4e/28/24/2fb075e6-3247-4f26-acf4-b91b1a6220f8.jp2/info.json
14	Le Plantage Voorborg à l'Est de la Riviere Surinam etc.	1793 Le Plantage Voorborg à l'Est de la Riviere Surinam etc.								Met uitvoerige aanwijzinge.  Schaal van 30 Kettingen à 66 Rijnlandse voeten = 180 strepen.	1	Nationaal Archief	https://www.nationaalarchief.nl/onderzoeken/archief/4.VEL/invnr/1793/file/NL-HaNA_4.VEL_1793	-	https://service.archief.nl/iip/3e/9e/e2/3f/1b/a7/40/e5/b3/e1/6e/13/1e/7e/96/6f/a9d059e0-4ed0-4d4e-933c-971b94e01cb7.jp2/info.json
15	6108 - Surinaamse Waterleiding Mij. Met kavelnummers getekend op de plattegrond van Paramaribo	6108 Surinaamse Waterleiding Mij. Met kavelnummers getekend op de plattegrond van Paramaribo		CC0		1937-1947				Met de hand ingekleurd. Lichtdruk.  Schaal 1:2.500.	1	Nationaal Archief	https://www.nationaalarchief.nl/onderzoeken/archief/4.MIKO/invnr/6108/file/NL-HaNA_4.MIKO_6108	-	https://service.archief.nl/iip/6f/1c/2c/92/a8/89/40/4c/9a/a0/89/97/e3/50/a3/4f/68dd39df-05dc-4bbc-9946-38f495a0fbf4.jp2/info.json
16	Generale caart van de provintie Suriname	Generale caart van de provintie Suriname :, rivieren & districten met alle d ondekkingen van van [sic] militaire togten mitsgaders de groote der gemeetene plantagien gecarteert op de naauwkeurigste waarnemingen /, [Alexander de Lavaux].	Generale Caart van de Provintie Suriname :, Rivieren & Districten Met Alle D Ondekkingen van van [Sic] Militaire Togten Mitsgaders de Groote Der Gemeetene Plantagien Gecarteert Op de Naauwkeurigste Waarnemingen /, [Alexander de Lavaux]. [Amsterdam] :, [s.n.], 1737.		Alexander de Lavaux	1737	[Amsterdam] :, [s.n.],					UB Amsterdam	https://hdl.handle.net/11245/3.38593	https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_38593/manifest/	https://images.uba.uva.nl/iiif/2/erfgoed!surinamica!2!8!2!990009612820205131!SURI01_Kaartenzl-33-24-66.jpg/info.json
17	A chart of the coast of Guyana					1767						UB Amsterdam	https://hdl.handle.net/11245/3.38566	https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_38566/manifest/	https://images.uba.uva.nl/iiif/2/erfgoed!surinamica!8!4!3!990010143480205131!SURI01_Kaartenzl-101-12-12.jpg/info.json
18	Kaart van geheel Guajana of de Wilden-kust	Kaart van geheel Guajana of de Wilden-kust, en die der Spaansche Westindiën, op het Noord-end van Zuid Amerika	Kaart van Geheel Guajana of de Wilden-Kust, En Die Der Spaansche Westindiën, Op Het Noord-End van Zuid Amerika. Te Amsterdam, by Is. Tirion, 1767.			1767	Is. Tirion Tirion, Isaak 	Te Amsterdam, by Is. Tirion Tirion, Isaak Amsterdam (1729-1766)			1	UB Amsterdam	https://hdl.handle.net/11245/3.38584	https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_38584/manifest/	https://images.uba.uva.nl/iiif/2/erfgoed!surinamica!5!0!4!990009804050205131!SURI01_Kaartenzl-104-07-21.jpg/info.json
19	Algemeene kaart van de Colonie of Provintie van Suriname	Algemeene kaart van de Colonie of Provintie van Suriname :, met de rivieren, districten, ontdekkingen door Militaire Togten en de Grootte der gemeeten plantagien /, door last, op kosten en met approbatie der E.E. Heeren Directeurs van de Societeit, naar de naaukeurigste waarnemingen door den Ingenieur A. de Lavaux en andere getekent ; in 't koper gebragt door Hendrik de Leth.	Algemeene Kaart van de Colonie of Provintie van Suriname :, Met de Rivieren, Districten, Ontdekkingen Door Militaire Togten En de Grootte Der Gemeeten Plantagien /, Door Last, Op Kosten En Met Approbatie Der E.E. Heeren Directeurs van de Societeit, Naar de Naaukeurigste Waarnemingen Door Den Ingenieur A. de Lavaux En Andere Getekent ; in ’T Koper Gebragt Door Hendrik de Leth. [Amsterdam] :, Petrus Schenk en Zoon, 1770.		Alexander de Lavaux, Hendrik de Leth	1770	Petrus Schenk en Zoon	Amsterdam			2	UB Amsterdam	https://hdl.handle.net/11245/3.38626	https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_38626/manifest/	https://images.uba.uva.nl/iiif/2/erfgoed!surinamica!7!2!0!990009570270205131!SURI01_Kaartenzl-105-13-02-03_001.jpg/info.json
20	Plattegrond der Plantage Adrichem		Plattegrond Der Plantage Adrichem. 1775.			ca. 1775					1	UB Amsterdam	https://hdl.handle.net/11245/3.38568	https://uvaerfgoed.nl/viewer/api/v1/records/11245_3_38568/manifest/	https://images.uba.uva.nl/iiif/2/erfgoed!surinamica!9!8!6!990010106890205131!SURI01_Kaartenzl-101-12-14.jpg/info.json	https://annotations.allmaps.org/maps/0197ada30b980807
